,A,B,C,D,E,F,G,H,I,J,K,L
3.0,384,396,396,396,396,426,271,385,330,260,392,476
6.0,384,396,396,396,396,426,284,385,330,273,392,476
8.0,384,398,396,396,396,426,284,385,330,273,392,476
