,1,10,11,2,3,4,5,6,6A,6B,7,8,9,9B
3.0,582,430,430,465,910,530,530,490,155,135,495,640,429,251
6.0,582,430,430,459,910,530,530,490,155,135,495,640,429,251
10.0,508,430,430,462,910,530,530,490,155,135,495,640,429,251
