,A,B,C,E,F,G,H
4.0,3403904,2773050,2613260,2088475,2570230,3414360,3442140
6.0,3525996,2790150,2746640,2115024,2625310,3503160,3533400
9.0,3446348,2861590,2847530,2148940,2672740,3570056,3601000
