,A,B,C,D,E,F,F1,F2
3.0,4158448,4555980,4380950,4759380,4019526,4525845,,
6.0,4242764,4648176,4466350,4852020,4101084,4617915,,
9.0,4327080,4740840,4551750,4005908,4182642,4709520,,
