,A,B,C,D,E,F,G,H,J,K,L,M
3.0,9294,8789,9302,9732,9334,9592,9592,9324,9322,9697,9674,9467
6.0,9472,9480,9480,9918,9512,9775,9775,9502,9500,9883,9859,9652
10.0,9709,9712,9703,10166,9749,10020,9398,9740,9738,10119,10106,9896
