,A,B,C,D,E,E1,E2,F
3.0,5799405,4583750,4583750,5271669,5592180,,4209024,3857010
6.0,5915340,4675000,4675000,5382026,5704512,,4292192,3932955
9.0,6031275,4766875,4766875,4808725,5812774,,4375360,4009315
