,A,B,C,D,E,F,G,H,J
9.0,18192,16750,16276,15757,15685,17939,18102,18129,18845
22.0,19255,19975,16838,15502,15565,19269,17771,20071,18819
33.0,21584,21522,17501,17065,16549,20491,19298,21357,20022
