,1,2,3,4,5,6,7,7A7B,7C
4.0,9377,9370,9352,9426,9300,6824,8577,9304,
6.0,9503,9496,9477,9553,9425,6913,8692,9429,
9.0,9692,9685,9666,9743,9613,7048,8865,9616,
