,A,B,D,E,F.P.,R.P.
3.0,4512000,4857090,3534000,3534000,4498840,3534000
8.0,4662870,5171920,3648900,2972400,4650180,3648900
12.0,4782250,5147970,3740700,3049200,4770500,3740700
