,A,B,C,D,E,G,H,I,J
3.0,4397220,4173910,4546340,4575490,4173910,3951860,5164900,4137105,4801090
6.0,4479330,4251995,4644390,4661880,4251995,4025460,5252480,4057125,4847635
9.0,4563480,4332020,4732370,4749330,4332020,4100900,5352240,4133385,4714420
