,A,AB,CD,D,E,EF,G,H
4.0,14177,15026,15026,14177,14314,15026,14184,14177
7.0,14448,11277,11277,14448,14584,11277,14456,14448
10.0,14722,12023,11496,14722,14861,11496,14725,14722
