,B,C,D,E,F,G,H
4.0,7229634,7229634,5950464,5950464,6753228,6875020,6394160
8.0,7423979,7423979,6110832,6110832,6935224,7061860,6533488
11.0,7570358,7570358,6230640,6230640,7070856,7202336,6637362
