,subjFloor,floorLv,unitNo,price,npsf,nfa
3.0/F低層A,3.0,低層,A,3926066,11122,353
6.0/F中層A,6.0,中層,A,4007609,11353,353
10.0/F高層A,10.0,高層,A,4117039,11663,353
3.0/F低層B,3.0,低層,B,3553631,12557,283
6.0/F中層B,6.0,中層,B,3619004,12788,283
10.0/F高層B,10.0,高層,B,3706451,13097,283
3.0/F低層C,3.0,低層,C,3649002,12894,283
6.0/F中層C,6.0,中層,C,3643342,12874,283
10.0/F高層C,10.0,高層,C,3729657,13179,283
3.0/F低層E,3.0,低層,E,3819820,12524,305
6.0/F中層E,6.0,中層,E,3889665,12753,305
10.0/F高層E,10.0,高層,E,3982385,13057,305
3.0/F低層F,3.0,低層,F,3885090,12738,305
6.0/F中層F,6.0,中層,F,3942430,12926,305
10.0/F高層F,10.0,高層,F,4036065,13233,305
