,C,D,E,F,G,H,PORTION B,PORTION C,PORTION E,PORTION H
2.0,5850,5850,6130,6907,6130,5725,5842,5850,6099,6099
5.0,5966,5966,6220,7029,6225,5843,5958,5966,6220,6220
8.0,6082,5875,6374,6708,6347,5912,6074,6082,6342,6342
