,A,B,C,D,D1,D4,D5,E,F,G,H
3.0,8823,8801,8791,9090,,8751,,9090,8274,8801,8022
6.0,9001,8978,8968,9273,,8922,,9273,8496,8978,8200
9.0,9178,9156,9145,9456,,9092,,9456,8483,9156,8389
