,1,12,13,14,15,2,3,4,5,6,7,8,9
3.0,10366,10048,10048,9957,9957,10306,10326,10048,10151,9880,9987,9058,10469
8.0,10699,10369,10369,10275,10275,10638,10657,10369,10476,10196,10315,10805,10805
12.0,10968,10634,10634,10535,10535,10907,10927,10634,10743,10453,10583,11077,11077
