,1,2,3,4,5,6,7,7A7B,7C
4.0,3394474,3757370,3450888,4713000,3561900,2770544,5437818,3554128,
6.0,3440086,3807896,3497013,4776500,3609775,2806678,5510728,3601878,
9.0,3508504,3883685,3566754,4871500,3681779,2861488,5620410,3673312,
