,A,B,C,D,E,F,G,H,I,J,K,L,M,N
5.0,11241,11107,11137,10902,11122,11137,10590,11871,10809,10542,10988,11143,10846,11126
8.0,11068,11316,11346,11098,11495,11346,10444,12107,10917,11120,11273,11351,11049,11335
10.0,11595,11455,11485,11229,11554,11485,10922,12256,11128,13779,11411,11490,11185,11474
