,A,A & B,B,C,D,D3,E,F,G,G3,H,I,J
3.0,8191,,8141,8368,8314,,9462,7571,7818,8466,7820,,
6.0,8346,,8059,8086,8411,,9642,7721,7969,8635,7965,,
8.0,8450,,8160,8188,8517,,9762,7821,8436,8748,8063,,
