,A,B,C,D,E,F,G,H,J
9.0,14026032,13165500,7714824,7925771,7952295,9077134,9141510,9155145,9139825
22.0,14845605,15700350,7981212,7797506,7891455,9750114,8974355,10135855,9127215
33.0,16641264,16894770,8295474,8583695,8390343,10368446,9745490,10785285,9710670
