,A,B,C,D,E,F,G,H,I,J,K,L,M,N
5.0,4788666,4231767,4120690,4066446,4181872,4120690,3897120,3941172,2929239,4438182,3812836,4100624,3991328,4161124
8.0,4714968,4311396,4198020,4139554,4322120,4198020,3843392,4019524,4017456,3013520,3911731,4177168,4066032,4239290
10.0,4939470,4364355,4249450,4188417,4344304,4249450,4019296,4068992,4095104,3734109,3959617,4228320,4116080,4291276
