,1,10,10B,11,12,13,14,14A,15,16,17,2,3,5,6,6B,7,7A,8,9
3.0,9945,8739,8947,8741,8711,8718,8784,8903,8768,8721,8744,8734,8734,8733,8747,8916,8779,8772,8670,9508
6.0,10684,9547,9008,9459,9704,9552,9583,9060,9681,9551,9548,9547,9547,9459,9566,9068,9695,8951,8921,9702
10.0,10971,9803,9205,9715,9963,9810,9840,9270,9940,9809,9804,9999,9802,9719,9828,9270,9954,9190,9719,9961
