,A,B,C,D,E,F,G,H,I,J,K,L,M,N
5.0,14270,13661,13750,13709,13579,13421,13240,13455,13518,13518,13642,14036,13748,13793
8.0,14552,13808,14034,13991,14023,13696,13504,13731,13795,13795,13923,14393,14359,14056
10.0,14736,13974,14212,14114,14035,13174,13677,13907,13972,13972,14051,14563,14153,14232
