,1,10,11,12,13,14,16,17,18,19,2,20,21,22,23,24,3,4,5,6,6-7,67,7,8,9
5.0,11237,11186,11098,11212,12227,10200,11240,11259,11212,11212,11322,11149,11241,11212,11202,11262,10987,11342,11302,11302,11212,12877,11212,11212,11035
8.0,11441,8791,11033,11417,12445,8937,11445,11463,11417,11417,11526,11480,11446,11417,11403,8795,11251,11546,11506,11506,11417,13105,11417,11417,10969
10.0,11248,8890,11166,11222,12592,9054,11251,11331,11739,11222,11331,8928,11291,11222,11247,8910,11256,11351,11779,11311,11222,13259,11222,11222,10913
