,A,B,C,D,E,F,G
5.0,4891734,5449392,4618838,4929716,4687781,5813196,4891734
9.0,5009486,5624904,4730313,5048090,4800971,5953776,5009486
13.0,5119699,5753982,4833213,5159224,4905929,6322692,5119699
