,A,B,C,D,E,F,G,H,I,J,K,L
3.0,10902,10455,10628,10628,10714,10662,12045,10606,10880,10478,10498,10695
6.0,11096,10657,10824,10824,10912,10858,11282,10806,11079,11329,10691,10890
8.0,11225,10783,10954,10954,11044,10989,11416,10903,11212,11462,10820,11021
