,A,B,C,D,E,F,G,H,I,J,K,L
4.0,13150,14746,13053,14337,13419,12793,16224,16540,14513,14513,15316,15924
10.0,14942,15438,13654,14880,15041,13338,16386,16910,14214,14214,15706,16100
17.0,15829,16250,14802,14863,15260,13763,14648,17156,14806,14806,17260,16543
