,A,B,C,D,E,F,G,H,I,J
4.0,14152,14858,14080,13661,13973,13707,12973,14425,13395,13307
10.0,15305,16710,14716,15104,14296,14396,13319,14543,13732,13903
17.0,14797,15614,15642,17211,14747,14774,14112,15136,14649,14306
