,lumpSum_avg,npsf_avg,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2022-12-15,4842110.0,10955.0,"Block B,7 TIN LOK LANE|第B座,7 天樂里",4842110.0,10955.0,442.0,,-0.007699275362318847,-0.007699275362318847
2022-11-15,4879680.0,11040.0,"Block B,7 TIN LOK LANE|第B座,7 天樂里",4879680.0,11040.0,442.0,,-0.07777128059477068,-0.07777128059477068
2022-10-15,5291182.0,11971.0,"Block B,7 TIN LOK LANE|第B座,7 天樂里",5291182.0,11971.0,442.0,,-0.13982898613206873,-0.13982898613206873
2022-9-15,6151314.0,13917.0,"Block B,7 TIN LOK LANE|第B座,7 天樂里",6151314.0,13917.0,442.0,,0.08999060150375948,0.08999060150375948
2022-8-15,5643456.0,12768.0,"Block B,7 TIN LOK LANE|第B座,7 天樂里",5643456.0,12768.0,442.0,,0.06988436400201081,0.06988436400201103
2022-7-15,5274828.000000001,11934.0,"Block B,7 TIN LOK LANE|第B座,7 天樂里",5274828.000000001,11934.0,442.0,,-0.13709327548806927,-0.13709327548806938
2022-6-15,6112860.0,13830.0,"Block B,7 TIN LOK LANE|第B座,7 天樂里",6112860.0,13830.0,442.0,,0.05027339003645204,0.05027339003645204
2022-5-15,5820256.0,13168.0,"Block B,7 TIN LOK LANE|第B座,7 天樂里",5820256.0,13168.0,442.0,,0.026744639376218293,0.026744639376218293
2022-4-15,5668650.0,12825.0,"Block B,7 TIN LOK LANE|第B座,7 天樂里",5668650.0,12825.0,442.0,,-0.0014015416958654825,-0.0014015416958654825
2022-3-15,5676606.0,12843.0,"Block B,7 TIN LOK LANE|第B座,7 天樂里",5676606.0,12843.0,442.0,,0.03723146502988217,0.03723146502988217
2022-2-15,5472844.0,12382.0,"Block B,7 TIN LOK LANE|第B座,7 天樂里",5472844.0,12382.0,442.0,,-0.09488304093567257,-0.09488304093567257
2022-1-15,6046560.0,13680.0,"Block B,7 TIN LOK LANE|第B座,7 天樂里",6046560.0,13680.0,442.0,,0.03951367781155013,0.03951367781155013
2021-12-15,5816720.0,13160.0,"Block B,7 TIN LOK LANE|第B座,7 天樂里",5816720.0,13160.0,442.0,,0.04810449187639376,0.04810449187639376
2021-11-15,5549752.0,12556.0,"Block B,7 TIN LOK LANE|第B座,7 天樂里",5549752.0,12556.0,442.0,,-0.06165458485912867,-0.06165458485912867
2021-10-15,5914402.0,13381.0,"Block B,7 TIN LOK LANE|第B座,7 天樂里",5914402.0,13381.0,442.0,,-0.012326542663123718,-0.012326542663123718
2021-9-15,5988216.0,13548.0,"Block B,7 TIN LOK LANE|第B座,7 天樂里",5988216.0,13548.0,442.0,,0.0753234383681245,0.0753234383681245
2021-8-15,5568758.0,12599.0,"Block B,7 TIN LOK LANE|第B座,7 天樂里",5568758.0,12599.0,442.0,,-0.028229849595063583,-0.028229849595063583
2021-7-15,5730530.0,12965.0,"Block B,7 TIN LOK LANE|第B座,7 天樂里",5730530.0,12965.0,442.0,,,
2021-6-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2021-5-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2021-4-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2021-3-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2021-2-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2021-1-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2020-12-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2020-11-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2020-10-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2020-9-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2020-8-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2020-7-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2020-6-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2020-5-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2020-4-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2020-3-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2020-2-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2020-1-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2019-12-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2019-11-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2019-10-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2019-9-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2019-8-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2019-7-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2019-6-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2019-5-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2019-4-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2019-3-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2019-2-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2019-1-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2018-12-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2018-11-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2018-10-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2018-9-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2018-8-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2018-7-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2018-6-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2018-5-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2018-4-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2018-3-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2018-2-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,,,
2018-1-15,,,"Block B,7 TIN LOK LANE|第B座,7 天樂里",,,442.0,442.0,,
