,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
7.0/F低層A,7.0,低層,A,9625930,16070,599,360,4,HA
18.0/F中層A,18.0,中層,A,9504333,15867,599,366,4,HA
30.0/F高層A,30.0,高層,A,9752918,16282,599,358,4,HA
7.0/F低層B,7.0,低層,B,9376280,15892,590,385,3,HA
18.0/F中層B,18.0,中層,B,9809340,16626,590,377,3,HA
30.0/F高層B,30.0,高層,B,9068300,15370,590,375,3,HA
7.0/F低層C,7.0,低層,C,9439410,15999,590,395,4,HA
18.0/F中層C,18.0,中層,C,9907870,16793,590,388,4,HA
30.0/F高層C,30.0,高層,C,10236500,17350,590,345,4,HA
7.0/F低層D,7.0,低層,D,9386304,15936,589,389,4,HA
18.0/F中層D,18.0,中層,D,10027725,17025,589,389,4,HA
30.0/F高層D,30.0,高層,D,10181454,17286,589,348,4,HA
7.0/F低層E,7.0,低層,E,17896939,20407,877,341,4,HA
18.0/F中層E,18.0,中層,E,15939475,18175,877,338,4,HA
30.0/F高層E,30.0,高層,E,16998014,19382,877,342,4,HA
7.0/F低層F,7.0,低層,F,15321600,17100,896,319,4,HA
18.0/F中層F,18.0,中層,F,15859200,17700,896,363,4,HA
30.0/F高層F,30.0,高層,F,16866304,18824,896,341,4,HA
7.0/F低層G,7.0,低層,G,18906496,21101,896,343,3,HA
18.0/F中層G,18.0,中層,G,19368832,21617,896,375,4,HA
30.0/F高層G,30.0,高層,G,17930752,20012,896,328,4,HA
7.0/F低層H,7.0,低層,H,18396904,20764,886,366,4,HA
18.0/F中層H,18.0,中層,H,15997616,18056,886,360,4,HA
30.0/F高層H,30.0,高層,H,17227384,19444,886,392,3,HA
