,A,A-H,B,C,D,E,F,G,H
8.0,8050195,,7782192,7838160,8077445,10259899,10061728,10099776,10064223
17.0,8214240,,8009232,8164464,8407715,10518963,10157504,10516336,10483135
26.0,8559225,,8345568,8292240,8631165,10916516,10427120,10509120,10871731
