,A,B,C,D,E,F,G,H
10.0,16105,15066,14648,15390,15076,14205,15992,14035
23.0,15066,15811,14424,15627,15663,14520,15894,14465
36.0,15630,15943,15168,16311,16546,15169,16068,15223
