,A,AB,B,C,D,E,F,G,H
13.0,18248,22787,17183,18335,15899,17805,16507,17507,17408
29.0,18011,25010,18422,18416,17036,16852,17646,17524,18201
45.0,17937,27250,19129,18594,17901,18024,17062,17780,19315
