,A,AB,B,C,D,E,F,G,H
14.0,8649216,26707695,8952889,8530080,7800578,8109375,7966970,10658142,13708944
30.0,10064896,27962046,9092996,9358960,8247860,8740998,8913597,11663784,14536620
46.0,9714176,27768594,9920713,9997520,8783996,8923686,9304966,10424700,15149907
