,A,A-H,B,C,D,E,F,G,H
8.0,14771,,14739,14845,14821,14891,15338,15396,14607
17.0,15072,,15169,15463,15427,15267,15484,16031,15215
26.0,15705,,15806,15705,15837,15844,15895,16020,15779
