,A,B,C,D,E,F,G,H,I,J,K,L
8.0,7371465,6058545,5686868,5768963,5465196,5571198,5608872,5253336,5686868,5766016,5983082,6513850
12.0,6680846,6166070,5794223,5807695,5568552,5676354,5714442,5458860,5794223,5874213,6168807,6636079
17.0,6635073,6306048,5924733,6028720,5695668,5690016,5843610,5589936,5924733,6010617,6313868,6611935
