,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
7.0/F低層A,7.0,低層,A,10335610,14395,718,333,3,HA
18.0/F中層A,18.0,中層,A,10897086,15177,718,382,3,HA
29.0/F高層A,29.0,高層,A,11466460,15970,718,393,3,HA
7.0/F低層B,7.0,低層,B,11752538,15839,742,368,4,HA
18.0/F中層B,18.0,中層,B,11140388,15014,742,390,4,HA
29.0/F高層B,29.0,高層,B,11670918,15729,742,397,4,HA
7.0/F低層C,7.0,低層,C,11945458,16099,742,368,4,HA
18.0/F中層C,18.0,中層,C,10352384,13952,742,321,3,HA
29.0/F高層C,29.0,高層,C,10897754,14687,742,373,3,HA
7.0/F低層D,7.0,低層,D,11510258,16031,718,371,4,HA
18.0/F中層D,18.0,中層,D,10780770,15015,718,407,4,HA
29.0/F高層D,29.0,高層,D,11126128,15496,718,351,3,HA
7.0/F低層E,7.0,低層,E,9541200,15902,600,321,4,HA
18.0/F中層E,18.0,中層,E,9341400,15569,600,367,4,HA
29.0/F高層E,29.0,高層,E,9811200,16352,600,391,4,HA
7.0/F低層F,7.0,低層,F,9410928,15504,607,347,5,HA
18.0/F中層F,18.0,中層,F,9078899,14957,607,315,4,HA
29.0/F高層F,29.0,高層,F,8914402,14686,607,320,3,HA
7.0/F低層G,7.0,低層,G,8814247,14521,607,312,4,HA
18.0/F中層G,18.0,中層,G,9473449,15607,607,362,4,HA
29.0/F高層G,29.0,高層,G,9642195,15885,607,377,4,HA
7.0/F低層H,7.0,低層,H,9286800,15478,600,345,5,HA
18.0/F中層H,18.0,中層,H,9121800,15203,600,302,4,HA
29.0/F高層H,29.0,高層,H,9092400,15154,600,328,4,HA
