,A,B,C,D,E,EF,F,G,H
6.0,9740340,9439352,8949038,9267156,9347062,27229704,9323025,12251961,12435863
17.0,10070424,9629922,9452918,9454776,9632948,28674696,9822146,12756195,12810743
28.0,10130208,10089874,10089874,9906972,9969473,30092976,10304230,12922731,12737329
