,A,B,C,D,E,E & F,F,G,H
8.0,13941,15235,14056,14263,14388,19623,15684,17438,18571
20.0,14800,15951,14133,15019,15202,20840,16767,18470,18494
33.0,15768,16746,14836,15959,16291,22157,17714,19464,19462
