,A,B,C,D,E,F,G,H,I,J,K,L
8.0,503,391,421,421,396,414,414,396,421,421,391,503
12.0,503,391,421,421,396,414,414,396,421,421,391,503
17.0,503,391,421,421,396,414,414,396,421,421,391,503
