,A,B,C,D,E,EF,F,G,H
6.0,15315,14612,13853,14571,14582,21407,14775,15891,15923
17.0,15834,14907,14633,14866,15028,22543,15566,16545,16403
28.0,15928,15619,15619,15577,15553,23658,16330,16761,16309
