,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5372742.6,12522.2,"ELVERUM TOWER 2(Phase 1A,NOVO LAND),YAN PO RD|NOVO LAND,1A期(ELVERUM 第2座),欣寶路",8286521.0,11821.0,701.0,7408040.0,12556.0,590.0,5365730.0,12715.0,422.0,5429721.0,13211.0,411.0,5391225.0,12225.0,441.0,5460480.0,11520.0,474.0,3838404.0,12668.0,303.0,5763920.0,13220.0,436.0,5396698.0,11887.0,454.0,4041268.0,13121.0,308.0,2970792.0,11979.0,248.0,4038032.0,13642.0,296.0,5740850.0,12086.0,475.0,5764098.0,12238.0,471.0,5695360.0,12944.0,440.0,,-0.040178782188809214,-0.04017966642138815
2022-11-15,5597649.333333333,13046.4,"ELVERUM TOWER 2(Phase 1A,NOVO LAND),YAN PO RD|NOVO LAND,1A期(ELVERUM 第2座),欣寶路",8633516.0,12316.0,701.0,7718380.0,13082.0,590.0,5590656.0,13248.0,422.0,5657004.0,13764.0,411.0,5616135.0,12735.0,441.0,5688474.0,12001.0,474.0,3999297.0,13199.0,303.0,6005028.0,13773.0,436.0,5622336.0,12384.0,454.0,4210360.0,13670.0,308.0,3095040.0,12480.0,248.0,4207344.0,14214.0,296.0,5981200.0,12592.0,475.0,6005250.0,12750.0,471.0,5934720.0,13488.0,440.0,,-0.01925224377770196,-0.019249562737737924
2022-10-15,5707532.133333334,13302.466666666667,"ELVERUM TOWER 2(Phase 1A,NOVO LAND),YAN PO RD|NOVO LAND,1A期(ELVERUM 第2座),欣寶路",8803859.0,12559.0,701.0,7870600.000000001,13340.0,590.0,5700376.0,13508.0,422.0,5767563.0,14033.0,411.0,5725503.0,12983.0,441.0,5799390.0,12235.0,474.0,4078380.0000000005,13460.0,303.0,6122748.0,14043.0,436.0,5732658.0,12627.0,454.0,4292596.0,13937.0,308.0,3155800.0,12725.0,248.0,4290224.0,14494.0,296.0,6098525.0,12839.0,475.0,6123000.0,13000.0,471.0,6051760.0,13754.0,440.0,,-0.053519491380130235,-0.053519590171710374
2022-9-15,6030269.066666666,14054.666666666666,"ELVERUM TOWER 2(Phase 1A,NOVO LAND),YAN PO RD|NOVO LAND,1A期(ELVERUM 第2座),欣寶路",9302270.0,13270.0,701.0,8316050.0,14095.0,590.0,6022784.0,14272.0,422.0,6093486.0,14826.0,411.0,6048315.0,13715.0,441.0,6126924.0,12926.0,474.0,4309266.0,14222.0,303.0,6469368.0,14838.0,436.0,6056360.0,13340.0,454.0,4535300.0,14725.0,308.0,3334360.0,13445.0,248.0,4532944.0,15314.0,296.0,6443375.0,13565.0,475.0,6468714.0,13734.0,471.0,6394520.0,14533.0,440.0,,-0.022414605997977954,-0.022415535997477476
2022-8-15,6168534.333333333,14376.933333333332,"ELVERUM TOWER 2(Phase 1A,NOVO LAND),YAN PO RD|NOVO LAND,1A期(ELVERUM 第2座),欣寶路",9515374.0,13574.0,701.0,8507800.0,14420.0,590.0,6160778.0,14599.0,422.0,6232815.0,15165.0,411.0,6186348.0,14028.0,441.0,6266754.0,13221.0,474.0,4408650.0,14550.0,303.0,6617608.0,15178.0,436.0,6195284.0,13646.0,454.0,4639096.0,15062.0,308.0,3410744.0,13753.0,248.0,4637136.0,15666.0,296.0,6591100.0,13876.0,475.0,6616608.0,14048.0,471.0,6541920.0,14868.0,440.0,,-0.012884717845291327,-0.01288512328980318
2022-7-15,6249051.6,14564.6,"ELVERUM TOWER 2(Phase 1A,NOVO LAND),YAN PO RD|NOVO LAND,1A期(ELVERUM 第2座),欣寶路",9639451.0,13751.0,701.0,8618720.0,14608.0,590.0,6241380.0,14790.0,422.0,6314604.0,15364.0,411.0,6267051.0,14211.0,441.0,6348756.0,13394.0,474.0,4465917.0,14739.0,303.0,6703936.0,15376.0,436.0,6276096.0,13824.0,454.0,4699772.0,15259.0,308.0,3455384.0,13933.0,248.0,4697520.0,15870.0,296.0,6677075.0,14057.0,475.0,6703272.0,14232.0,471.0,6626840.0,15061.0,440.0,,-0.014145753121480587,-0.01414685655493586
2022-6-15,6338717.533333333,14773.6,"ELVERUM TOWER 2(Phase 1A,NOVO LAND),YAN PO RD|NOVO LAND,1A期(ELVERUM 第2座),欣寶路",9777548.0,13948.0,701.0,8741440.0,14816.0,590.0,6330844.0,15002.0,422.0,6405435.0,15585.0,411.0,6357897.0,14417.0,441.0,6440238.0,13587.0,474.0,4529547.0,14949.0,303.0,6800292.0,15597.0,436.0,6366442.0,14023.0,454.0,4767532.0,15479.0,308.0,3504984.0,14133.0,248.0,4764712.0,16097.0,296.0,6773025.0,14259.0,475.0,6799827.0,14437.0,471.0,6721000.0,15275.0,440.0,,-0.021600143865197152,-0.021598615428087053
2022-5-15,6478657.466666667,15099.733333333334,"ELVERUM TOWER 2(Phase 1A,NOVO LAND),YAN PO RD|NOVO LAND,1A期(ELVERUM 第2座),欣寶路",9992755.0,14255.0,701.0,8933780.0,15142.0,590.0,6470526.0,15333.0,422.0,6547230.0,15930.0,411.0,6499458.0,14738.0,441.0,6583386.0,13889.0,474.0,4628931.0,15277.0,303.0,6950276.0,15941.0,436.0,6507182.0,14333.0,454.0,4872868.0,15821.0,308.0,3582112.0,14444.0,248.0,4869792.0,16452.0,296.0,6922650.0,14574.0,475.0,6950076.0,14756.0,471.0,6868840.0,15611.0,440.0,,0.011649875871279303,0.011648681483598988
2022-4-15,6404051.066666666,14925.866666666667,"ELVERUM TOWER 2(Phase 1A,NOVO LAND),YAN PO RD|NOVO LAND,1A期(ELVERUM 第2座),欣寶路",9877090.0,14090.0,701.0,8830530.0,14967.0,590.0,6395832.0,15156.0,422.0,6472017.0,15747.0,411.0,6425370.0,14570.0,441.0,6508020.0,13730.0,474.0,4575300.0,15100.0,303.0,6870488.0,15758.0,436.0,6432272.0,14168.0,454.0,4817120.0,15640.0,308.0,3540944.0,14278.0,248.0,4813256.0,16261.0,296.0,6842850.0,14406.0,475.0,6870477.0,14587.0,471.0,6789200.0,15430.0,440.0,,-0.007596629161363944,-0.007597450377212933
2022-3-15,6453072.666666667,15040.133333333333,"ELVERUM TOWER 2(Phase 1A,NOVO LAND),YAN PO RD|NOVO LAND,1A期(ELVERUM 第2座),欣寶路",9952097.0,14197.0,701.0,8897200.0,15080.0,590.0,6444784.0,15272.0,422.0,6522159.0,15869.0,411.0,6475644.0,14684.0,441.0,6558738.0,13837.0,474.0,4609842.0,15214.0,303.0,6922808.0,15878.0,436.0,6481758.0,14277.0,454.0,4854080.0,15760.0,308.0,3567976.0,14387.0,248.0,4849960.0,16385.0,296.0,6895575.0,14517.0,475.0,6923229.0,14699.0,471.0,6840240.0,15546.0,440.0,,0.018591873074285115,0.018592765165881042
2022-2-15,6335287.8,14765.6,"ELVERUM TOWER 2(Phase 1A,NOVO LAND),YAN PO RD|NOVO LAND,1A期(ELVERUM 第2座),欣寶路",9770538.0,13938.0,701.0,8734360.0,14804.0,590.0,6327046.0,14993.0,422.0,6402969.0,15579.0,411.0,6358338.0,14418.0,441.0,6439290.0,13585.0,474.0,4525305.0,14935.0,303.0,6796368.0,15588.0,436.0,6363718.0,14017.0,454.0,4765684.0,15473.0,308.0,3503000.0,14125.0,248.0,4761160.0,16085.0,296.0,6769700.0,14252.0,475.0,6797001.0,14431.0,471.0,6714840.0,15261.0,440.0,,-0.04327598951701628,-0.04327805687183317
