,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5152971.5,13971.3,"GRAND JETE(Phase 1),Block 2,CASTLE PEAK RD TAI LAM|飛揚1期,2座,青山公路大欖段",6126372.0,12684.0,483.0,5999070.0,12985.0,462.0,4122744.0,14568.0,283.0,4201800.0,14900.0,282.0,8870492.0,12286.0,722.0,4040469.0,15363.0,263.0,4177646.0000000005,14762.0,283.0,4165826.0,15661.0,266.0,3979976.0,14014.0,284.0,5845320.0,12490.0,468.0,,-0.037918954725742804,-0.03696019300361886
2022-11-15,5356068.0,14507.5,"GRAND JETE(Phase 1),Block 2,CASTLE PEAK RD TAI LAM|飛揚1期,2座,青山公路大欖段",6384294.0,13218.0,483.0,6250860.0,13530.0,462.0,4295374.0,15178.0,283.0,4378050.0,15525.0,282.0,9243044.0,12802.0,722.0,4080971.0000000005,15517.0,263.0,4352823.0,15381.0,283.0,4337928.0,16308.0,266.0,4147251.9999999995,14603.0,284.0,6090084.0,13013.0,468.0,,-0.017512597269328634,-0.016973844694402995
2022-10-15,5451538.6,14758.0,"GRAND JETE(Phase 1),Block 2,CASTLE PEAK RD TAI LAM|飛揚1期,2座,青山公路大欖段",6510357.0,13479.0,483.0,6373752.0,13796.0,462.0,4379708.0,15476.0,283.0,4464060.0,15830.0,282.0,9424266.0,13053.0,722.0,4161185.9999999995,15822.0,263.0,4343201.0,15347.0,283.0,4420388.0,16618.0,266.0,4229044.0,14891.0,284.0,6209424.0,13268.0,468.0,,-0.053529798426278585,-0.053507179825939666
2022-9-15,5759862.9,15592.3,"GRAND JETE(Phase 1),Block 2,CASTLE PEAK RD TAI LAM|飛揚1期,2座,青山公路大欖段",6879369.0,14243.0,483.0,6734574.0,14577.0,462.0,4627616.0,16352.0,283.0,4716732.0,16726.0,282.0,9957824.0,13792.0,722.0,4396834.0,16718.0,263.0,4587996.0,16212.0,283.0,4667768.0,17548.0,266.0,4469024.0,15736.0,284.0,6560892.0,14019.0,468.0,,-0.020200843535295387,-0.019500201227487746
2022-8-15,5878615.9,15902.4,"GRAND JETE(Phase 1),Block 2,CASTLE PEAK RD TAI LAM|飛揚1期,2座,青山公路大欖段",7038276.0,14572.0,483.0,6889344.0,14912.0,462.0,4733741.0,16727.0,283.0,4825302.0,17111.0,282.0,10186698.0,14109.0,722.0,4497826.0,17102.0,263.0,4559696.0,16112.0,283.0,4772040.0,17940.0,266.0,4572116.0,16099.0,284.0,6711120.0,14340.0,468.0,,-0.012819491477635614,-0.01280061582012093
2022-7-15,5954955.4,16108.6,"GRAND JETE(Phase 1),Block 2,CASTLE PEAK RD TAI LAM|飛揚1期,2座,青山公路大欖段",7130529.0,14763.0,483.0,6978972.0,15106.0,462.0,4795152.0,16944.0,283.0,4888188.0,17334.0,282.0,10319546.0,14293.0,722.0,4556475.0,17325.0,263.0,4619126.0,16322.0,283.0,4831358.0,18163.0,266.0,4632040.0,16310.0,284.0,6798168.0,14526.0,468.0,,-0.014072037486139277,-0.014065024727023423
2022-6-15,6039949.8,16338.4,"GRAND JETE(Phase 1),Block 2,CASTLE PEAK RD TAI LAM|飛揚1期,2座,青山公路大欖段",7232442.0,14974.0,483.0,7078764.0,15322.0,462.0,4863921.0,17187.0,283.0,4958124.0,17582.0,282.0,10466834.0,14497.0,722.0,4621436.0,17572.0,263.0,4685065.0,16555.0,283.0,4899188.0,18418.0,266.0,4698212.0,16543.0,284.0,6895512.0,14734.0,468.0,,-0.021529811650537245,-0.021529653429473328
2022-5-15,6172850.1,16697.9,"GRAND JETE(Phase 1),Block 2,CASTLE PEAK RD TAI LAM|飛揚1期,2座,青山公路大欖段",7390866.0,15302.0,483.0,7234920.0,15660.0,462.0,4971178.0,17566.0,283.0,5067258.0,17969.0,282.0,10697152.0,14816.0,722.0,4723217.0,17959.0,263.0,4788360.0,16920.0,283.0,5006918.0,18823.0,266.0,4801020.0,16905.0,284.0,7047612.0,15059.0,468.0,,0.011701671908341593,0.011705756542075951
2022-4-15,6101452.9,16504.7,"GRAND JETE(Phase 1),Block 2,CASTLE PEAK RD TAI LAM|飛揚1期,2座,青山公路大欖段",7304892.0,15124.0,483.0,7151298.0,15479.0,462.0,4913729.0,17363.0,283.0,5008602.0,17761.0,282.0,10573690.0,14645.0,722.0,4668776.0,17752.0,263.0,4732892.0,16724.0,283.0,4948930.0,18605.0,266.0,4745072.0,16708.0,284.0,6966648.0,14886.0,468.0,,-0.0075200032662708916,-0.007522640079856591
2022-3-15,6147683.5,16629.8,"GRAND JETE(Phase 1),Block 2,CASTLE PEAK RD TAI LAM|飛揚1期,2座,青山公路大欖段",7359471.0,15237.0,483.0,7205352.000000001,15596.0,462.0,4951368.0,17496.0,283.0,5046672.0,17896.0,282.0,10653832.0,14756.0,722.0,4704281.0,17887.0,263.0,4768833.0,16851.0,283.0,4986170.0,18745.0,266.0,4780856.0,16834.0,284.0,7020000.0,15000.0,468.0,,0.01865942786934216,0.018664510477730545
2022-2-15,6035072.5,16325.1,"GRAND JETE(Phase 1),Block 2,CASTLE PEAK RD TAI LAM|飛揚1期,2座,青山公路大欖段",7224231.000000001,14957.0,483.0,7073682.0,15311.0,462.0,4860808.0,17176.0,283.0,4954176.0,17568.0,282.0,10458892.0,14486.0,722.0,4618017.0,17559.0,263.0,4681669.0,16543.0,283.0,4894666.0,18401.0,266.0,4692816.0,16524.0,284.0,6891768.0,14726.0,468.0,,-0.0432093970135492,-0.043206367254121636
