,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5053129.1875,12770.625,"ELVERUM TOWER 1(Phase 1A,NOVO LAND),YAN PO RD|NOVO LAND,1A期(ELVERUM 第1座),欣寶路",8114028.0,12003.0,676.0,7115724.0,12684.0,561.0,8227929.0,11771.0,699.0,5284847.0,12613.0,419.0,3150880.0,13408.0,235.0,3190125.0,13575.0,235.0,3006120.0,12792.0,235.0,3084140.0,13124.0,235.0,3026565.0,12879.0,235.0,3023748.0,12922.0,234.0,6091516.0,12638.0,482.0,5503724.0,13042.0,422.0,5327984.0,12566.0,424.0,5639400.0,12532.0,450.0,5500593.0,12473.0,441.0,5562744.0,13308.0,418.0,,-0.04016730873108676,-0.04018150729975012
2022-11-15,5264593.75,13305.25,"ELVERUM TOWER 1(Phase 1A,NOVO LAND),YAN PO RD|NOVO LAND,1A期(ELVERUM 第1座),欣寶路",8453380.0,12505.0,676.0,7411371.0,13211.0,561.0,8572536.0,12264.0,699.0,5506079.0,13141.0,419.0,3282715.0,13969.0,235.0,3323605.0,14143.0,235.0,3131610.0,13326.0,235.0,3213390.0,13674.0,235.0,3153935.0,13421.0,235.0,3150810.0,13465.0,234.0,6346494.0,13167.0,482.0,5734558.0,13589.0,422.0,5550584.0,13091.0,424.0,5875650.0,13057.0,450.0,5730795.0,12995.0,441.0,5795988.0,13866.0,418.0,,-0.019229601524875628,-0.0192389201142541
2022-10-15,5367814.6875,13566.25,"ELVERUM TOWER 1(Phase 1A,NOVO LAND),YAN PO RD|NOVO LAND,1A期(ELVERUM 第1座),欣寶路",8619000.0,12750.0,676.0,7554426.0,13466.0,561.0,8741694.0,12506.0,699.0,5613762.0,13398.0,419.0,3346870.0,14242.0,235.0,3388935.0,14421.0,235.0,3192710.0,13586.0,235.0,3276370.0,13942.0,235.0,3216210.0,13686.0,235.0,3213288.0,13732.0,234.0,6470368.0,13424.0,482.0,5847654.0,13857.0,422.0,5659128.0,13347.0,424.0,5990850.0,13313.0,450.0,5843250.0,13250.0,441.0,5910520.0,14140.0,418.0,,-0.05349218920604626,-0.05349955740442769
2022-9-15,5671178.4375,14333.0625,"ELVERUM TOWER 1(Phase 1A,NOVO LAND),YAN PO RD|NOVO LAND,1A期(ELVERUM 第1座),欣寶路",9105720.0,13470.0,676.0,7979664.0,14224.0,561.0,9236586.0,13214.0,699.0,5930945.0,14155.0,419.0,3535810.0,15046.0,235.0,3580460.0,15236.0,235.0,3372955.0,14353.0,235.0,3461550.0,14730.0,235.0,3398570.0,14462.0,235.0,3395340.0,14510.0,234.0,6836206.0,14183.0,482.0,6178502.0,14641.0,422.0,5978400.0,14100.0,424.0,6329250.0,14065.0,450.0,6173559.0,13999.0,441.0,6245338.0,14941.0,418.0,,-0.021652007039277832,-0.02116625691456664
2022-8-15,5796688.375,14643.0,"ELVERUM TOWER 1(Phase 1A,NOVO LAND),YAN PO RD|NOVO LAND,1A期(ELVERUM 第1座),欣寶路",9313928.0,13778.0,676.0,8159745.0,14545.0,561.0,9448383.0,13517.0,699.0,6066701.0,14479.0,419.0,3616885.0,15391.0,235.0,3593150.0,15290.0,235.0,3449800.0,14680.0,235.0,3540980.0,15068.0,235.0,3476825.0,14795.0,235.0,3473730.0,14845.0,234.0,6992374.0,14507.0,482.0,6320294.0,14977.0,422.0,6114928.0,14422.0,424.0,6474600.0,14388.0,450.0,6315561.0,14321.0,441.0,6389130.0,15285.0,418.0,,-0.012883335550647912,-0.012879984832206315
2022-7-15,5872343.75,14834.0625,"ELVERUM TOWER 1(Phase 1A,NOVO LAND),YAN PO RD|NOVO LAND,1A期(ELVERUM 第1座),欣寶路",9435608.0,13958.0,676.0,8267457.0,14737.0,561.0,9571407.0,13693.0,699.0,6145892.0,14668.0,419.0,3664355.0,15593.0,235.0,3640385.0000000005,15491.0,235.0,3494920.0,14872.0,235.0,3587039.9999999995,15264.0,235.0,3521945.0,14987.0,235.0,3518658.0,15037.0,234.0,7083954.0,14697.0,482.0,6402584.0,15172.0,422.0,6195064.0,14611.0,424.0,6558750.0,14575.0,450.0,6397587.0,14507.0,441.0,6471894.0,15483.0,418.0,,-0.014178827514770176,-0.0141719659241476
2022-6-15,5956804.25,15047.3125,"ELVERUM TOWER 1(Phase 1A,NOVO LAND),YAN PO RD|NOVO LAND,1A期(ELVERUM 第1座),欣寶路",9571484.0,14159.0,676.0,8388072.0,14952.0,561.0,9708411.0,13889.0,699.0,6234301.0,14879.0,419.0,3716995.0,15817.0,235.0,3693025.0,15715.0,235.0,3545444.9999999995,15087.0,235.0,3638740.0000000005,15484.0,235.0,3572000.0,15200.0,235.0,3568734.0,15251.0,234.0,7186138.0,14909.0,482.0,6494158.0,15389.0,422.0,6284528.0,14822.0,424.0,6653250.0,14785.0,450.0,6489315.0,14715.0,441.0,6564272.0,15704.0,418.0,,-0.02162560555791415,-0.021611297368688387
2022-5-15,6088471.125,15379.6875,"ELVERUM TOWER 1(Phase 1A,NOVO LAND),YAN PO RD|NOVO LAND,1A期(ELVERUM 第1座),欣寶路",9783748.0,14473.0,676.0,8576007.0,15287.0,561.0,9922305.0,14195.0,699.0,6372152.0,15208.0,419.0,3799245.0,16167.0,235.0,3774804.9999999995,16063.0,235.0,3624169.9999999995,15422.0,235.0,3718875.0,15825.0,235.0,3650255.0,15533.0,235.0,3646890.0000000005,15585.0,234.0,7345198.0,15239.0,482.0,6637216.0,15728.0,422.0,6423600.0,15150.0,424.0,6799950.0,15111.0,450.0,6632640.0,15040.0,441.0,6708482.0,16049.0,418.0,,0.011615144865209537,0.011626042664452108
2022-4-15,6018564.625,15202.9375,"ELVERUM TOWER 1(Phase 1A,NOVO LAND),YAN PO RD|NOVO LAND,1A期(ELVERUM 第1座),欣寶路",9671532.0,14307.0,676.0,8480076.0,15116.0,561.0,9807669.0,14031.0,699.0,6299246.0,15034.0,419.0,3755770.0,15982.0,235.0,3731565.0000000005,15879.0,235.0,3582810.0,15246.0,235.0,3676104.9999999995,15643.0,235.0,3607720.0,15352.0,235.0,3604302.0,15403.0,234.0,7260847.999999999,15064.0,482.0,6560412.0,15546.0,422.0,6350248.0,14977.0,424.0,6721650.0,14937.0,450.0,6556347.0,14867.0,441.0,6630734.0,15863.0,418.0,,-0.0076290326810809495,-0.007620912632845811
2022-3-15,6064833.4375,15319.6875,"ELVERUM TOWER 1(Phase 1A,NOVO LAND),YAN PO RD|NOVO LAND,1A期(ELVERUM 第1座),欣寶路",9745892.0,14417.0,676.0,8547396.0,15236.0,561.0,9882462.0,14138.0,699.0,6347850.0,15150.0,419.0,3784675.0,16105.0,235.0,3760470.0,16002.0,235.0,3610540.0,15364.0,235.0,3704305.0,15763.0,235.0,3634980.0000000005,15468.0,235.0,3631446.0000000005,15519.0,234.0,7316759.999999999,15180.0,482.0,6610630.0,15665.0,422.0,6399432.0,15093.0,424.0,6773400.0,15052.0,450.0,6606621.0,14981.0,441.0,6680476.0,15982.0,418.0,,0.018571544335005852,0.018583544919237305
2022-2-15,5954253.75,15040.1875,"ELVERUM TOWER 1(Phase 1A,NOVO LAND),YAN PO RD|NOVO LAND,1A期(ELVERUM 第1座),欣寶路",9568780.0,14155.0,676.0,8393682.0,14962.0,561.0,9701421.0,13879.0,699.0,6232206.0,14874.0,419.0,3715820.0,15812.0,235.0,3692084.9999999995,15711.0,235.0,3544975.0,15085.0,235.0,3636625.0,15475.0,235.0,3568004.9999999995,15183.0,235.0,3564522.0,15233.0,234.0,7183728.000000001,14904.0,482.0,6489516.0,15378.0,422.0,6283256.0,14819.0,424.0,6649650.0,14777.0,450.0,6485787.0,14707.0,441.0,6558002.0,15689.0,418.0,,-0.04330494491068593,-0.04329451801552875
