,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5576152.5,9159.0,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",6171048.0,9022.0,684.0,6243552.0,9128.0,684.0,4905415.0,9169.0,535.0,4984595.0,9317.0,535.0,,-0.0365289555000774,-0.03602157610840684
2022-11-15,5787566.25,9501.25,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",6429600.0,9400.0,684.0,6504840.0,9510.0,684.0,5110855.0,9553.0,535.0,5104970.0,9542.0,535.0,,-0.019249975026111366,-0.01925111610022967
2022-10-15,5901163.5,9687.75,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",6555456.0,9584.0,684.0,6632748.0,9697.0,684.0,5211435.0,9741.0,535.0,5205015.0,9729.0,535.0,,-0.05355444731881742,-0.05356096131301291
2022-9-15,6235079.75,10236.0,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",6926184.0,10126.0,684.0,7007580.0,10245.0,684.0,5506755.0,10293.0,535.0,5499800.0,10280.0,535.0,,-0.022392338413496304,-0.022396256148225935
2022-8-15,6377895.75,10470.5,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7084872.0,10358.0,684.0,7167636.0,10479.0,684.0,5633015.0,10529.0,535.0,5626060.0,10516.0,535.0,,-0.012766371592035086,-0.012775787290213114
2022-7-15,6460371.25,10606.0,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7175843.999999999,10491.0,684.0,7259976.0,10614.0,684.0,5706310.0,10666.0,535.0,5699355.0,10653.0,535.0,,-0.013894812663564737,-0.013922785486832678
2022-6-15,6551401.75,10755.75,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7275708.0,10637.0,684.0,7360524.0,10761.0,684.0,5788165.0,10819.0,535.0,5781210.0,10806.0,535.0,,-0.021267892026070823,-0.021292568074796958
2022-5-15,6693764.0,10989.75,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7433027.999999999,10867.0,684.0,7518528.0,10992.0,684.0,5915495.0,11057.0,535.0,5908005.0,11043.0,535.0,,0.010570488587823945,0.010691129811008393
2022-4-15,6623747.75,10873.5,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7379676.000000001,10789.0,684.0,7428240.0,10860.0,684.0,5847015.0,10929.0,535.0,5840060.0,10916.0,535.0,,-0.0072854296091318105,-0.007303601588533382
2022-3-15,6672358.75,10953.5,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7433027.999999999,10867.0,684.0,7481592.0,10938.0,684.0,5890885.0,11011.0,535.0,5883930.0,10998.0,535.0,,0.01894701260287368,0.018930232558139526
2022-2-15,6548288.25,10750.0,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7294176.000000001,10664.0,684.0,7341372.0,10733.0,684.0,5782280.0,10808.0,535.0,5775325.0,10795.0,535.0,,-0.03934795752147868,-0.03942812465095502
