,lumpSum_avg,npsf_avg,final_address,lumpSum_J,npsf_J,nfa_J,lumpSum_R,npsf_R,nfa_R,nfa_avg,lumpSum_change,npsf_change
2020-12-15,4997569.0,14702.0,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4454570.0,14510.0,307.0,5540568.0,14894.0,372.0,,0.010062182389346752,0.010064923911923263
2020-11-15,4947783.5,14555.5,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4410055.0,14365.0,307.0,5485512.0,14746.0,372.0,,-0.025577734304108923,-0.025605837461507575
2020-10-15,5077658.5,14938.0,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4527329.0,14747.0,307.0,5627988.0,15129.0,372.0,,-0.014282795428084416,-0.014318706697459604
2020-9-15,5151232.5,15155.0,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4594869.0,14967.0,307.0,5707596.0,15343.0,372.0,,0.037164908522298035,0.037125748502994105
2020-8-15,4966647.5,14612.5,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4432159.0,14437.0,307.0,5501136.0,14788.0,372.0,,-0.05291640264225905,-0.05295051686704044
2020-7-15,5244149.0,15429.5,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4681750.0,15250.0,307.0,5806548.0,15609.0,372.0,,0.03397804949053285,0.033940896602559834
2020-6-15,5071818.5,14923.0,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4529785.0,14755.0,307.0,5613852.0,15091.0,372.0,,0.003060016066938509,0.0030246000806559703
2020-5-15,5056346.0,14878.0,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4517812.0,14716.0,307.0,5594880.0,15040.0,372.0,,0.010392684346329562,0.010390492359932058
2020-4-15,5004337.5,14725.0,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4471455.0,14565.0,307.0,5537220.0,14885.0,372.0,,0.007462956994258585,0.007457580733442715
2020-3-15,4967267.0,14616.0,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4438606.0,14458.0,307.0,5495928.0,14774.0,372.0,,-0.03143976042925567,-0.03144362347172058
2020-2-15,5128506.0,15090.5,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4582896.0,14928.0,307.0,5674116.0,15253.0,372.0,,0.006908461849729042,0.0069059851871622335
2020-1-15,5093319.0,14987.0,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4551582.0,14826.0,307.0,5635056.0,15148.0,372.0,,0.025039649121500585,0.025032487517953728
2019-12-15,4968899.5,14621.0,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4440755.0,14465.0,307.0,5497044.0,14777.0,372.0,,-0.023308777966312366,-0.023313293253172995
2019-11-15,5087482.5,14970.0,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4546977.0,14811.0,307.0,5627988.0,15129.0,372.0,,-0.01311815387766857,-0.013118860834596902
2019-10-15,5155108.0,15169.0,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4607456.0,15008.0,307.0,5702760.0,15330.0,372.0,,-0.003935868339117632,-0.003939851598923072
