,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,nfa_avg,lumpSum_change,npsf_change
2022-12-15,6953125.444444444,13304.777777777777,"BERGEN TOWER 2(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第2座),欣寶路",10265628.0,13044.0,787.0,8515772.0,12062.0,706.0,8907490.0,12835.0,694.0,6121321.0,14137.0,433.0,5646762.0,13509.0,418.0,5985015.0,12871.0,465.0,5919394.0,14027.0,422.0,5649030.0,13645.0,414.0,5567717.0,13613.0,409.0,,-0.04024769098131309,-0.04024398063543966
2022-11-15,7244708.222222222,13862.666666666666,"BERGEN TOWER 2(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第2座),欣寶路",10696117.0,13591.0,787.0,8873008.0,12568.0,706.0,9281556.0,13374.0,694.0,6378090.0,14730.0,433.0,5883350.0,14075.0,418.0,6235650.0,13410.0,465.0,6166686.0,14613.0,422.0,5886252.0,14218.0,414.0,5801665.0,14185.0,409.0,,-0.019295825291325452,-0.019289723152384197
2022-10-15,7387251.333333333,14135.333333333334,"BERGEN TOWER 2(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第2座),欣寶路",10907033.0,13859.0,787.0,9047390.0,12815.0,706.0,9464772.0,13638.0,694.0,6503660.0,15020.0,433.0,5999136.0,14352.0,418.0,6357945.0,13673.0,465.0,6287378.0,14899.0,422.0,6002172.0,14498.0,414.0,5915776.0,14464.0,409.0,,-0.053573022144453475,-0.0535783365570599
2022-9-15,7805410.777777778,14935.555555555555,"BERGEN TOWER 2(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第2座),欣寶路",11524041.0,14643.0,787.0,9558534.0,13539.0,706.0,10001234.0,14411.0,694.0,6872143.0,15871.0,433.0,6338552.0,15164.0,418.0,6717855.0,14447.0,465.0,6642702.0,15741.0,422.0,6342480.0,15320.0,414.0,6251156.0,15284.0,409.0,,-0.022480349403312228,-0.022471093011417365
2022-8-15,7984914.444444444,15278.888888888889,"BERGEN TOWER 2(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第2座),欣寶路",11790834.0,14982.0,787.0,9778100.0,13850.0,706.0,10230948.0,14742.0,694.0,7029755.0,16235.0,433.0,6484434.0,15513.0,418.0,6871770.0,14778.0,465.0,6795466.0,16103.0,422.0,6488208.0,15672.0,414.0,6394715.0,15635.0,409.0,,-0.012855502200326274,-0.012857050559579641
2022-7-15,8088901.333333333,15477.888888888889,"BERGEN TOWER 2(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第2座),欣寶路",11944299.0,15177.0,787.0,9905886.0,14031.0,706.0,10363502.0,14933.0,694.0,7121118.0,16446.0,433.0,6568870.0,15715.0,418.0,6961515.0,14971.0,465.0,6884930.0,16315.0,422.0,6572250.0,15875.0,414.0,6477742.0,15838.0,409.0,,-0.014113338575046375,-0.014112318199511753
2022-6-15,8204697.0,15699.444444444445,"BERGEN TOWER 2(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第2座),欣寶路",12115078.0,15394.0,787.0,10048498.0,14233.0,706.0,10511324.0,15146.0,694.0,7222872.999999999,16681.0,433.0,6662920.0,15940.0,418.0,7061490.0,15186.0,465.0,6984100.0,16550.0,422.0,6665814.0,16101.0,414.0,6570176.0,16064.0,409.0,,-0.021521893688022042,-0.021529874518711356
2022-5-15,8385161.555555556,16044.888888888889,"BERGEN TOWER 2(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第2座),欣寶路",12381084.0,15732.0,787.0,10269476.0,14546.0,706.0,10741732.0,15478.0,694.0,7381784.0,17048.0,433.0,6809638.0,16291.0,418.0,7217265.000000001,15521.0,465.0,7138552.0,16916.0,422.0,6812370.0,16455.0,414.0,6714553.0,16417.0,409.0,,0.011692453993513485,0.011692997512873449
2022-4-15,8288251.555555556,15859.444444444445,"BERGEN TOWER 2(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第2座),欣寶路",12237850.0,15550.0,787.0,10151574.0,14379.0,706.0,10616812.0,15298.0,694.0,7296483.0,16851.0,433.0,6730636.0,16102.0,418.0,7134495.0,15343.0,465.0,7056684.0,16722.0,422.0,6733296.0,16264.0,414.0,6636434.0,16226.0,409.0,,-0.007526587094336179,-0.007530350860114776
2022-3-15,8351106.888888889,15979.777777777777,"BERGEN TOWER 2(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第2座),欣寶路",12330716.0,15668.0,787.0,10228528.0,14488.0,706.0,10696622.0,15413.0,694.0,7351473.999999999,16978.0,433.0,6782050.0,16225.0,418.0,7188899.999999999,15460.0,465.0,7111122.000000001,16851.0,422.0,6784218.0,16387.0,414.0,6686332.0,16348.0,409.0,,0.018641611720618734,0.018642074993271196
2022-2-15,8198277.777777778,15687.333333333334,"BERGEN TOWER 2(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第2座),欣寶路",12104847.0,15381.0,787.0,10042144.0,14224.0,706.0,10500220.0,15130.0,694.0,7216810.999999999,16667.0,433.0,6657904.0,15928.0,418.0,7057770.0,15178.0,465.0,6981568.0,16544.0,422.0,6659604.0,16086.0,414.0,6563632.0,16048.0,409.0,,-0.0431941537619005,-0.04319598807264835
2022-1-15,8568381.777777778,16395.555555555555,"BERGEN TOWER 2(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第2座),欣寶路",12651025.0,16075.0,787.0,10496102.0,14867.0,706.0,10973528.0,15812.0,694.0,7542427.000000001,17419.0,433.0,6958446.0,16647.0,418.0,7376760.0,15864.0,465.0,7297645.999999999,17293.0,422.0,6959754.0,16811.0,414.0,6859748.0,16772.0,409.0,,0.0025256639723798546,0.0025205687925047293
2021-12-15,8546795.444444444,16354.333333333334,"BERGEN TOWER 2(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第2座),欣寶路",12618758.0,16034.0,787.0,10469980.0,14830.0,706.0,10945074.0,15771.0,694.0,7523375.0,17375.0,433.0,6940890.0,16605.0,418.0,7358625.0,15825.0,465.0,7280344.000000001,17252.0,422.0,6941952.0,16768.0,414.0,6842161.0,16729.0,409.0,,-0.018842881904838737,-0.019400270484540516
2021-11-15,8710934.555555556,16677.88888888889,"BERGEN TOWER 2(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第2座),欣寶路",12750974.0,16202.0,787.0,10688840.0,15140.0,706.0,11173400.0,16100.0,694.0,7680554.000000001,17738.0,433.0,7086354.0,16953.0,418.0,7513005.0,16157.0,465.0,7433530.000000001,17615.0,422.0,7086851.999999999,17118.0,414.0,6984902.0,17078.0,409.0,,0.024820666147195913,0.024818046509087477
2021-10-15,8499959.888888888,16274.0,"BERGEN TOWER 2(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第2座),欣寶路",12442470.0,15810.0,787.0,10430444.0,14774.0,706.0,10901352.0,15708.0,694.0,7494363.999999999,17308.0,433.0,6914556.0,16542.0,418.0,7331655.000000001,15767.0,465.0,7254180.0,17190.0,422.0,6915042.0,16703.0,414.0,6815576.0,16664.0,409.0,,-0.020659697238525232,-0.02066115702479332
