,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_A7,npsf_A7,nfa_A7,lumpSum_A8,npsf_A8,nfa_A8,lumpSum_A9,npsf_A9,nfa_A9,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B7,npsf_B7,nfa_B7,lumpSum_B8,npsf_B8,nfa_B8,lumpSum_C1,npsf_C1,nfa_C1,lumpSum_C2,npsf_C2,nfa_C2,lumpSum_C3,npsf_C3,nfa_C3,lumpSum_C5,npsf_C5,nfa_C5,lumpSum_C6,npsf_C6,nfa_C6,lumpSum_C7,npsf_C7,nfa_C7,lumpSum_C8,npsf_C8,nfa_C8,lumpSum_change,npsf_change
2019-12-15,5905306.238095238,13023.809523809523,21,124011431.0,273500.0,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",11416098.0,12119.0,942.0,5885616.0,12496.0,471.0,6087384.0,12897.0,472.0,4500771.0,14109.0,319.0,4519273.0,14167.0,319.0,6324328.0,13399.0,472.0,6356145.0,13495.0,471.0,5339779.0,11533.0,463.0,8600386.0,13894.0,619.0,5747142.0,12202.0,471.0,5768100.0,12818.0,450.0,4217778.0,12666.0,333.0,4397679.0,12529.0,351.0,4558086.0,12986.0,351.0,5567575.0,12025.0,463.0,8653620.0,13980.0,619.0,6717873.0,14263.0,471.0,6202800.0,13784.0,450.0,4355640.0,13080.0,333.0,4397679.0,12529.0,351.0,4397679.0,12529.0,351.0,-0.029854401843845246,-0.030117768880787876
2019-11-15,6087030.904761905,13428.238095238095,21,127827649.0,281993.0,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",11779710.0,12505.0,942.0,6072132.0,12892.0,471.0,6281848.0,13309.0,472.0,4643364.0,14556.0,319.0,4662823.0,14617.0,319.0,6525872.0,13826.0,472.0,6558204.0,13924.0,471.0,5511089.0,11903.0,463.0,8741518.0,14122.0,619.0,5929890.0,12590.0,471.0,5950800.0,13224.0,450.0,4352976.0,13072.0,333.0,4537728.0,12928.0,351.0,4703049.0,13399.0,351.0,5745830.0,12410.0,463.0,8929075.0,14425.0,619.0,6932649.0,14719.0,471.0,6400800.0,14224.0,450.0,4492836.0,13492.0,333.0,4537728.0,12928.0,351.0,4537728.0,12928.0,351.0,-0.011384545947825231,-0.011383396438087279
2019-10-15,6157127.0,13582.857142857143,21,129299667.0,285240.0,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",11915358.0,12649.0,942.0,6140898.0,13038.0,471.0,6355008.0,13464.0,472.0,4695999.0,14721.0,319.0,4716415.0,14785.0,319.0,6600448.0,13984.0,472.0,6633564.0,14084.0,471.0,5575909.0,12043.0,463.0,8841796.0,14284.0,619.0,5997714.0,12734.0,471.0,6018300.0,13374.0,450.0,4404258.0,13226.0,333.0,4590378.0,13078.0,351.0,4756752.0,13552.0,351.0,5813428.0,12556.0,463.0,9031210.0,14590.0,619.0,7013190.0,14890.0,471.0,6475500.0,14390.0,450.0,4542786.0,13642.0,333.0,4590378.0,13078.0,351.0,4590378.0,13078.0,351.0,-0.0018503179836713013,-0.0018476526413033767
2019-9-15,6168540.761904762,13608.0,21,129539356.0,285768.0,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",11937024.0,12672.0,942.0,6151260.0,13060.0,471.0,6367280.0,13490.0,472.0,4703974.0,14746.0,319.0,4725028.0,14812.0,319.0,6612720.0,14010.0,472.0,6645810.0,14110.0,471.0,5587947.0,12069.0,463.0,8857890.0,14310.0,619.0,6008547.0,12757.0,471.0,6028200.0,13396.0,450.0,4413249.0,13253.0,333.0,4599153.0,13103.0,351.0,4765176.0,13576.0,351.0,5825003.0,12581.0,463.0,9047923.0,14617.0,619.0,7027320.0,14920.0,471.0,6488100.0,14418.0,450.0,4549446.0,13662.0,333.0,4599153.0,13103.0,351.0,4599153.0,13103.0,351.0,-0.049054454889301824,-0.049053439331268045
2019-8-15,6486744.476190476,14309.952380952382,21,136221634.0,300509.0,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",12552150.0,13325.0,942.0,6467301.0,13731.0,471.0,6696736.0,14188.0,472.0,4945457.0,15503.0,319.0,4968425.0,15575.0,319.0,6953504.0,14732.0,472.0,6988226.999999999,14837.0,471.0,5877785.0,12695.0,463.0,9314712.0,15048.0,619.0,6318465.0,13415.0,471.0,6337800.0,14084.0,450.0,4642020.0,13940.0,333.0,4836780.0,13780.0,351.0,5010525.0,14275.0,351.0,6126879.0,13233.0,463.0,9514030.0,15370.0,619.0,7390932.0,15692.0,471.0,6823800.0,15164.0,450.0,4782546.0,14362.0,333.0,4836780.0,13780.0,351.0,4836780.0,13780.0,351.0,0.02483391355776332,0.024837497356987592
2019-7-15,6329556.80952381,13963.142857142857,21,132920693.0,293226.0,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",12247884.0,13002.0,942.0,6309516.0,13396.0,471.0,6535312.0,13846.0,472.0,4824875.0,15125.0,319.0,4847843.0,15197.0,319.0,6785000.0,14375.0,472.0,6818667.0,14477.0,471.0,5736570.0,12390.0,463.0,9088777.0,14683.0,619.0,6164919.0,13089.0,471.0,6183000.0,13740.0,450.0,4530465.0,13605.0,333.0,4719897.0,13447.0,351.0,4888728.0,13928.0,351.0,5979645.0,12915.0,463.0,9283143.0,14997.0,619.0,7212894.0,15314.0,471.0,6659100.0,14798.0,450.0,4664664.0,14008.0,333.0,4719897.0,13447.0,351.0,4719897.0,13447.0,351.0,0.002169544006187296,0.0021736901466216096
2019-6-15,6315854.285714285,13932.857142857143,21,132632940.0,292590.0,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",12221508.0,12974.0,942.0,6294444.0,13364.0,471.0,6521624.0,13817.0,472.0,4813391.0,15089.0,319.0,4836997.0,15163.0,319.0,6769896.0,14343.0,472.0,6803595.0,14445.0,471.0,5725921.0,12367.0,463.0,9068969.0,14651.0,619.0,6151260.0,13060.0,471.0,6168600.0,13708.0,450.0,4521807.0,13579.0,333.0,4710069.0,13419.0,351.0,4877496.0,13896.0,351.0,5967607.0,12889.0,463.0,9262716.0,14964.0,619.0,7198292.999999999,15283.0,471.0,6645600.0,14768.0,450.0,4653009.0,13973.0,333.0,4710069.0,13419.0,351.0,4710069.0,13419.0,351.0,-0.008091499515379352,-0.008367817961831281
2019-5-15,6367375.904761905,14050.42857142857,21,133714894.0,295059.0,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",12333606.0,13093.0,942.0,6351435.0,13485.0,471.0,6582512.0,13946.0,472.0,4856775.0,15225.0,319.0,4881338.0,15302.0,319.0,6832200.0,14475.0,472.0,6865767.0,14577.0,471.0,5780092.0,12484.0,463.0,9151915.0,14785.0,619.0,6207780.0,13180.0,471.0,6223950.0,13831.0,450.0,4564431.0,13707.0,333.0,4753944.0,13544.0,351.0,4922073.0,14023.0,351.0,6023630.0,13010.0,463.0,9208244.0,14876.0,619.0,7265646.000000001,15426.0,471.0,6707700.0,14906.0,450.0,4693968.0,14096.0,333.0,4753944.0,13544.0,351.0,4753944.0,13544.0,351.0,0.04158647623269007,0.04158812191557404
2019-4-15,6113151.476190476,13489.42857142857,21,128376181.0,283278.0,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",11840940.0,12570.0,942.0,6096624.0,12944.0,471.0,6320552.0,13391.0,472.0,4662185.0,14615.0,319.0,4686429.0,14691.0,319.0,6558912.0,13896.0,472.0,6591174.0,13994.0,471.0,5550907.0,11989.0,463.0,8786086.0,14194.0,619.0,5959563.0,12653.0,471.0,5974200.0,13276.0,450.0,4383279.0,13163.0,333.0,4564404.0,13004.0,351.0,4725162.0,13462.0,351.0,5784722.0,12494.0,463.0,8840558.0,14282.0,619.0,6976452.0,14812.0,471.0,6440400.0,14312.0,450.0,4504824.0,13528.0,333.0,4564404.0,13004.0,351.0,4564404.0,13004.0,351.0,0.01437570694027368,0.012777793667591464
2019-3-15,6026516.047619048,13319.238095238095,21,126556837.0,279704.0,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",11471676.0,12178.0,942.0,6042930.0,12830.0,471.0,6267216.0,13278.0,472.0,4621353.0,14487.0,319.0,4645916.0,14564.0,319.0,6502744.0,13777.0,472.0,6534654.0,13874.0,471.0,5505070.0,11890.0,463.0,8519297.0,13763.0,619.0,5908695.0,12545.0,471.0,5922000.0,13160.0,450.0,4346982.0,13054.0,333.0,4525794.0,12894.0,351.0,4684095.0,13345.0,351.0,5736107.0,12389.0,463.0,8764421.0,14159.0,619.0,6655701.0,14131.0,471.0,6386400.0,14192.0,450.0,4464198.0,13406.0,333.0,4525794.0,12894.0,351.0,4525794.0,12894.0,351.0,0.05644516566548541,0.0508195674306946
2019-2-15,5704523.285714285,12675.095238095239,21,119794989.0,266177.0,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",10183020.0,10810.0,942.0,5796597.0,12307.0,471.0,6013280.0,12740.0,472.0,4432824.0,13896.0,319.0,4457068.0,13972.0,319.0,6238424.0,13217.0,472.0,6268539.0,13309.0,471.0,5282830.0,11410.0,463.0,7782687.0,12573.0,619.0,5668014.0,12034.0,471.0,5679900.0,12622.0,450.0,4171158.0000000005,12526.0,333.0,4342221.0,12371.0,351.0,4493502.0,12802.0,351.0,5504144.0,11888.0,463.0,8002431.999999999,12928.0,619.0,6384876.0,13556.0,471.0,6127650.0,13617.0,450.0,4281381.0,12857.0,333.0,4342221.0,12371.0,351.0,4342221.0,12371.0,351.0,-0.00016561388660130127,-0.0008070812937325256
