,lumpSum_avg,npsf_avg,final_address,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5126102.555555556,12879.111111111111,"BERGEN TOWER 1(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第1座),欣寶路",7693200.0,12822.0,600.0,5633426.0,12631.0,446.0,4042764.0,13612.0,297.0,4104630.0,13914.0,295.0,6115088.0,12304.0,497.0,3144031.0,12427.0,253.0,3137772.0,12966.0,242.0,5535192.0,12246.0,452.0,6728820.0,12990.0,518.0,,-0.04024192143326322,-0.0402331685586772
2022-11-15,5341036.111111111,13419.0,"BERGEN TOWER 1(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第1座),欣寶路",8016600.000000001,13361.0,600.0,5869360.0,13160.0,446.0,4212054.0,14182.0,297.0,4276320.0,14496.0,295.0,6371540.0,12820.0,497.0,3275591.0,12947.0,253.0,3269662.0,13511.0,242.0,5767068.0,12759.0,452.0,7011130.0,13535.0,518.0,,-0.01925566641819576,-0.019246229931541903
2022-10-15,5445900.555555556,13682.333333333334,"BERGEN TOWER 1(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第1座),欣寶路",8174400.0,13624.0,600.0,5984874.0,13419.0,446.0,4294917.0,14461.0,297.0,4359510.0,14778.0,295.0,6496784.0,13072.0,497.0,3339600.0,13200.0,253.0,3334034.0,13777.0,242.0,5880068.0,13009.0,452.0,7148918.0,13801.0,518.0,,-0.053545372856134144,-0.0535332728698138
2022-9-15,5754000.666666667,14456.222222222223,"BERGEN TOWER 1(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第1座),欣寶路",8637600.0,14396.0,600.0,6323388.0,14178.0,446.0,4537566.0,15278.0,297.0,4605540.0,15612.0,295.0,6864564.0,13812.0,497.0,3528338.0,13946.0,253.0,3522794.0,14557.0,242.0,6212740.0,13745.0,452.0,7553476.000000001,14582.0,518.0,,-0.022469587049605555,-0.02246498767806704
2022-8-15,5886262.555555556,14788.444444444445,"BERGEN TOWER 1(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第1座),欣寶路",8836200.0,14727.0,600.0,6468784.0,14504.0,446.0,4641813.0,15629.0,297.0,4711150.0,15970.0,295.0,7022610.0,14130.0,497.0,3609298.0,14266.0,253.0,3603864.0,14892.0,242.0,6355120.0,14060.0,452.0,7727523.999999999,14918.0,518.0,,-0.012878349941021994,-0.012889923906432954
2022-7-15,5963056.888888889,14981.555555555555,"BERGEN TOWER 1(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第1座),欣寶路",8950800.0,14918.0,600.0,6553078.0,14693.0,446.0,4702698.0,15834.0,297.0,4773395.0,16181.0,295.0,7114058.0,14314.0,497.0,3656609.0,14453.0,253.0,3650569.9999999995,15085.0,242.0,6438288.0,14244.0,452.0,7828016.0,15112.0,518.0,,-0.01410928837894354,-0.014119109421270148
2022-6-15,6048395.444444444,15196.111111111111,"BERGEN TOWER 1(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第1座),欣寶路",9078600.0,15131.0,600.0,6646738.0,14903.0,446.0,4770117.0,16061.0,297.0,4842425.0,16415.0,295.0,7215446.0,14518.0,497.0,3709232.9999999995,14661.0,253.0,3702600.0,15300.0,242.0,6530496.0,14448.0,452.0,7939904.0,15328.0,518.0,,-0.021578488730213397,-0.02159060830000792
2022-5-15,6181789.111111111,15531.444444444445,"BERGEN TOWER 1(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第1座),欣寶路",9277800.0,15463.0,600.0,6793472.0,15232.0,446.0,4875255.0,16415.0,297.0,4949805.0,16779.0,295.0,7374485.999999999,14838.0,497.0,3791458.0000000005,14986.0,253.0,3784154.0,15637.0,242.0,6674684.0,14767.0,452.0,8114988.0,15666.0,518.0,,0.011667853301884135,0.011659381061285945
2022-4-15,6110492.777777778,15352.444444444445,"BERGEN TOWER 1(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第1座),欣寶路",9169800.0,15283.0,600.0,6714976.0,15056.0,446.0,4819122.0,16226.0,297.0,4893460.0,16588.0,295.0,7289499.0,14667.0,497.0,3747941.9999999995,14814.0,253.0,3740110.0,15455.0,242.0,6598296.0,14598.0,452.0,8021230.0,15485.0,518.0,,-0.007555665790183408,-0.007570425064283848
2022-3-15,6157013.111111111,15469.555555555555,"BERGEN TOWER 1(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第1座),欣寶路",9239400.0,15399.0,600.0,6765820.0,15170.0,446.0,4856247.0,16351.0,297.0,4931220.0,16716.0,295.0,7344666.000000001,14778.0,497.0,3777037.0,14929.0,253.0,3768424.0,15572.0,242.0,6648468.0,14709.0,452.0,8081836.0,15602.0,518.0,,0.018620534153595658,0.018612545909483247
2022-2-15,6044462.0,15186.888888888889,"BERGEN TOWER 1(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第1座),欣寶路",9069600.0,15116.0,600.0,6641832.0,14892.0,446.0,4767444.0,16052.0,297.0,4841835.0,16413.0,295.0,7210475.999999999,14508.0,497.0,3708221.0,14657.0,253.0,3699212.0,15286.0,242.0,6527332.0,14441.0,452.0,7934206.0,15317.0,518.0,,-0.04324012684277523,-0.04325183220053064
2022-1-15,6317637.444444444,15873.444444444445,"BERGEN TOWER 1(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第1座),欣寶路",9478800.0,15798.0,600.0,6941990.0,15565.0,446.0,4983066.0,16778.0,297.0,5061315.0,17157.0,295.0,7536010.999999999,15163.0,497.0,3876212.9999999995,15321.0,253.0,3866192.0000000005,15976.0,242.0,6822488.0,15094.0,452.0,8292662.0,16009.0,518.0,,0.0025054730415512427,0.0024911231807784873
2021-12-15,6301848.333333333,15834.0,"BERGEN TOWER 1(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第1座),欣寶路",9454200.0,15757.0,600.0,6924595.999999999,15526.0,446.0,4970889.0,16737.0,297.0,5049515.0,17117.0,295.0,7517125.0,15125.0,497.0,3866852.0,15284.0,253.0,3856270.0,15935.0,242.0,6805764.000000001,15057.0,452.0,8271424.0,15968.0,518.0,,-0.020517168950520914,-0.020530197329081123
2021-11-15,6433852.777777778,16165.888888888889,"BERGEN TOWER 1(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第1座),欣寶路",9651600.0,16086.0,600.0,7069545.999999999,15851.0,446.0,5075136.0,17088.0,297.0,5156010.0,17478.0,295.0,7674177.0,15441.0,497.0,3948317.9999999995,15606.0,253.0,3936856.0000000005,16268.0,242.0,6948596.0,15373.0,452.0,8444436.0,16302.0,518.0,,0.024780428875804006,0.024771792415619442
2021-10-15,6278274.444444444,15775.111111111111,"BERGEN TOWER 1(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第1座),欣寶路",9417600.0,15696.0,600.0,6898281.999999999,15467.0,446.0,4952475.0,16675.0,297.0,5032110.0,17058.0,295.0,7488299.0,15067.0,497.0,3853190.0000000005,15230.0,253.0,3841266.0,15873.0,242.0,6780904.0,15002.0,452.0,8240344.0,15908.0,518.0,,-0.020679786843986414,-0.020693080233969763
