,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,lumpSum_Q,npsf_Q,nfa_Q,nfa_avg,lumpSum_change,npsf_change
2020-12-15,4666022.714285715,16952.428571428572,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5060130.0,16323.0,310.0,5230456.0,16982.0,308.0,4907980.0,15935.0,308.0,5358660.0,17286.0,310.0,4368480.0,19160.0,228.0,5463990.0,15930.0,343.0,4983273.0,15921.0,313.0,3964940.0000000005,17780.0,223.0,4998411.0,15669.0,319.0,5223306.0,16374.0,319.0,3876120.0000000005,17460.0,222.0,3692880.0,16560.0,223.0,4049457.0000000005,18159.0,223.0,4146234.9999999995,17795.0,233.0,,0.00819919513919598,0.008537129501752894
2020-11-15,4628076.214285715,16808.928571428572,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5048350.0,16285.0,310.0,5177788.0,16811.0,308.0,4859008.0,15776.0,308.0,5304100.0,17110.0,310.0,4307148.0,18891.0,228.0,5408424.0,15768.0,343.0,4932567.0,15759.0,313.0,3925469.0,17603.0,223.0,5052641.0,15839.0,319.0,5170352.0,16208.0,319.0,3837270.0,17285.0,222.0,3655862.0,16394.0,223.0,4009094.0,17978.0,223.0,4104994.0,17618.0,233.0,,-0.022972170983508122,-0.023280234421044654
2020-10-15,4736892.928571428,17209.571428571428,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5228150.0,16865.0,310.0,5262488.0,17086.0,308.0,4985596.0,16187.0,308.0,5440500.0,17550.0,310.0,4418184.0,19378.0,228.0,5548368.0,16176.0,343.0,5059332.0,16164.0,313.0,4027379.9999999995,18060.0,223.0,5184069.0,16251.0,319.0,5150574.0,16146.0,319.0,3936725.9999999995,17733.0,222.0,3750413.9999999995,16818.0,223.0,4113011.9999999995,18444.0,223.0,4211708.0,18076.0,233.0,,-0.013915821230575776,-0.01391537812993704
2020-9-15,4803740.928571428,17452.428571428572,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5301930.0,17103.0,310.0,5337024.0,17328.0,308.0,5056128.0,16416.0,308.0,5516140.0,17794.0,310.0,4480428.0,19651.0,228.0,5626229.0,16403.0,343.0,5130070.0,16390.0,313.0,4083798.9999999995,18313.0,223.0,5258396.0,16484.0,319.0,5223944.0,16376.0,319.0,3992226.0,17983.0,222.0,3803488.0,17056.0,223.0,4171215.0,18705.0,223.0,4271356.0,18332.0,233.0,,0.036101924921635,0.036319140182635046
2020-8-15,4636359.428571428,16840.785714285714,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5109730.0,16483.0,310.0,5143600.0,16700.0,308.0,4845148.0,15731.0,308.0,5315260.0,17146.0,310.0,4318092.0,18939.0,228.0,5421801.0,15807.0,343.0,4942896.0,15792.0,313.0,3935503.9999999995,17648.0,223.0,5159825.0,16175.0,319.0,5066677.0,15883.0,319.0,3847704.0000000005,17332.0,222.0,3665674.0,16438.0,223.0,4020244.0,18028.0,223.0,4116877.0,17669.0,233.0,,-0.04697363881844241,-0.04689312813547253
2020-7-15,4864880.571428572,17669.35714285714,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5393070.0,17397.0,310.0,5428808.0,17626.0,308.0,5114340.0,16605.0,308.0,5552410.0,17911.0,310.0,4557492.0,19989.0,228.0,5721926.0,16682.0,343.0,5150415.0,16455.0,313.0,4153152.0,18624.0,223.0,5351544.0,16776.0,319.0,5348354.0,16766.0,319.0,4061045.9999999995,18293.0,222.0,3868827.0,17349.0,223.0,4243467.0,19029.0,223.0,4163477.0,17869.0,233.0,,0.032626773475028736,0.032816864361135734
2020-6-15,4711170.285714285,17107.928571428572,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5213580.0,16818.0,310.0,5248012.0,17039.0,308.0,5040728.0,16366.0,308.0,5389660.0,17386.0,310.0,4405872.0,19324.0,228.0,5531218.0,16126.0,343.0,4979830.0,15910.0,313.0,4014669.0,18003.0,223.0,5172585.0,16215.0,319.0,5166843.0,16197.0,319.0,3925848.0,17684.0,222.0,3740156.0000000005,16772.0,223.0,4102308.0000000005,18396.0,223.0,4025075.0,17275.0,233.0,,0.005239863823071733,0.005334956346541242
2020-5-15,4686613.071428572,17017.14285714286,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5195600.0,16760.0,310.0,5229840.0,16980.0,308.0,5022556.0,16307.0,308.0,5257600.0,16960.0,310.0,4390596.0,19257.0,228.0,5511667.0,16069.0,343.0,4963867.0,15859.0,313.0,4000173.9999999995,17938.0,223.0,5109742.0,16018.0,319.0,5251697.0,16463.0,319.0,3912306.0000000005,17623.0,222.0,3727222.0,16714.0,223.0,4088035.9999999995,18332.0,223.0,3951680.0000000005,16960.0,233.0,,0.010322406117819538,0.010326328958249364
2020-4-15,4638730.214285715,16843.214285714286,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5142280.0,16588.0,310.0,5176248.0,16806.0,308.0,4970196.0,16137.0,308.0,5205210.0,16791.0,310.0,4345680.0,19060.0,228.0,5455758.0,15906.0,343.0,4914100.0,15700.0,313.0,3958919.0,17753.0,223.0,5056788.0,15852.0,319.0,5198105.0,16295.0,319.0,3872124.0,17442.0,222.0,3689088.9999999995,16543.0,223.0,4045889.0,18143.0,223.0,3911837.0,16789.0,233.0,,0.0074212635863031284,0.0074252244015602376
2020-3-15,4604558.571428572,16719.071428571428,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5104460.0,16466.0,310.0,5138056.0,16682.0,308.0,4932928.0,16016.0,308.0,5168010.0,16671.0,310.0,4313532.0,18919.0,228.0,5415627.0,15789.0,343.0,4878731.0,15587.0,313.0,3929259.9999999995,17620.0,223.0,5018827.0,15733.0,319.0,5159825.0,16175.0,319.0,3843486.0,17313.0,222.0,3661883.0,16421.0,223.0,4015784.0,18008.0,223.0,3883411.0,16667.0,233.0,,-0.03151364890646169,-0.031508345677377814
2020-2-15,4754386.642857143,17263.0,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5270310.0,17001.0,310.0,5304992.0,17224.0,308.0,5092472.0,16534.0,308.0,5337580.0,17218.0,310.0,4453752.0,19534.0,228.0,5592272.0,16304.0,343.0,5038361.0,16097.0,313.0,4056370.0,18190.0,223.0,5181517.0,16243.0,319.0,5327938.0,16702.0,319.0,3968472.0,17876.0,222.0,3780742.0000000005,16954.0,223.0,4146239.0,18593.0,223.0,4010395.9999999995,17212.0,233.0,,0.006844293262345813,0.006848915588365312
