,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,lumpSum_Q,npsf_Q,nfa_Q,lumpSum_R,npsf_R,nfa_R,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5061419.117647059,13237.588235294117,"BERGEN TOWER 3(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第3座),欣寶路",8118124.0,11834.0,686.0,8513700.0,12025.0,708.0,5696520.0,12830.0,444.0,4096224.0,13792.0,297.0,5404230.0,13410.0,403.0,4022597.0,13729.0,293.0,4130700.0,14050.0,294.0,4143342.0,14093.0,294.0,5643289.0,13033.0,433.0,5391558.0,12746.0,423.0,4067895.0,13605.0,299.0,5572712.0,13526.0,412.0,4078683.0,13461.0,303.0,4068306.0,13698.0,297.0,3989400.0,13298.0,300.0,3950991.0,13303.0,297.0,5155854.0,12606.0,409.0,,-0.04019612926220484,-0.04021444290905374
2022-11-15,5273388.94117647,13792.235294117647,"BERGEN TOWER 3(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第3座),欣寶路",8459066.0,12331.0,686.0,8866284.0,12523.0,708.0,5934948.0,13367.0,444.0,4267890.0,14370.0,297.0,5631119.0,13973.0,403.0,4190779.0000000005,14303.0,293.0,4304160.0,14640.0,294.0,4317978.0,14687.0,294.0,5879707.0,13579.0,433.0,5617017.0,13279.0,423.0,4237727.0,14173.0,299.0,5807140.0,14095.0,412.0,4249878.0,14026.0,303.0,4238487.0,14271.0,297.0,4156499.9999999995,13855.0,300.0,4116717.0,13861.0,297.0,5372215.0,13135.0,409.0,,-0.0192485556860561,-0.01927420569191396
2022-10-15,5376886.235294118,14063.29411764706,"BERGEN TOWER 3(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第3座),欣寶路",8625764.0,12574.0,686.0,9035496.0,12762.0,708.0,6051276.0,13629.0,444.0,4351941.0,14653.0,297.0,5741541.0,14247.0,403.0,4272819.0,14583.0,293.0,4389126.0,14929.0,294.0,4403826.0,14979.0,294.0,5995318.0,13846.0,433.0,5726997.0,13539.0,423.0,4320550.0,14450.0,299.0,5922500.0,14375.0,412.0,4333809.0,14303.0,303.0,4321350.0,14550.0,297.0,4238400.0,14128.0,300.0,4197798.0,14134.0,297.0,5478555.0,13395.0,409.0,,-0.05351274790263405,-0.05353169858827056
2022-9-15,5680886.05882353,14858.70588235294,"BERGEN TOWER 3(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第3座),欣寶路",9114196.0,13286.0,686.0,9541716.0,13477.0,708.0,6393600.0,14400.0,444.0,4598154.0,15482.0,297.0,6066762.0,15054.0,403.0,4513958.0,15406.0,293.0,4637850.0,15775.0,294.0,4654020.0,15830.0,294.0,6334790.0,14630.0,433.0,6050592.0,14304.0,423.0,4564235.0,15265.0,299.0,6258280.0,15190.0,412.0,4579239.0,15113.0,303.0,4565484.0,15372.0,297.0,4478100.0,14927.0,300.0,4435101.0,14933.0,297.0,5788986.0,14154.0,409.0,,-0.022437808637287393,-0.022445994164041583
2022-8-15,5811278.411764706,15199.882352941177,"BERGEN TOWER 3(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第3座),欣寶路",9324112.0,13592.0,686.0,9759072.0,13784.0,708.0,6540120.0,14730.0,444.0,4703886.0,15838.0,297.0,6205394.0,15398.0,403.0,4617680.0,15760.0,293.0,4744572.0,16138.0,294.0,4761036.0,16194.0,294.0,6480278.0,14966.0,433.0,6189336.0,14632.0,423.0,4668885.0,15615.0,299.0,6402068.0,15539.0,412.0,4684380.0,15460.0,303.0,4670325.0,15725.0,297.0,4581000.0,15270.0,300.0,4537269.0,15277.0,297.0,5922320.0,14480.0,409.0,,-0.012857349937489548,-0.012858911080209645
2022-7-15,5886969.235294118,15397.882352941177,"BERGEN TOWER 3(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第3座),欣寶路",9444848.0,13768.0,686.0,9886512.0,13964.0,708.0,6625812.0,14923.0,444.0,4765068.0,16044.0,297.0,6286397.0,15599.0,403.0,4678331.0,15967.0,293.0,4806018.0,16347.0,294.0,4821894.0,16401.0,294.0,6564713.0,15161.0,433.0,6270975.0,14825.0,423.0,4730479.0,15821.0,299.0,6484468.0,15739.0,412.0,4745283.0,15661.0,303.0,4731804.0,15932.0,297.0,4640700.0,15469.0,300.0,4596372.0,15476.0,297.0,5998803.0,14667.0,409.0,,-0.014085181794947665,-0.014090130129375988
2022-6-15,5971072.882352941,15617.941176470587,"BERGEN TOWER 3(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第3座),欣寶路",9579304.0,13964.0,686.0,10027404.0,14163.0,708.0,6720828.0,15137.0,444.0,4833378.0,16274.0,297.0,6376266.0,15822.0,403.0,4745721.0,16197.0,293.0,4874226.0,16579.0,294.0,4889808.0,16632.0,294.0,6658674.0,15378.0,433.0,6361074.0,15038.0,423.0,4798950.0,16050.0,299.0,6576344.0,15962.0,412.0,4812852.0,15884.0,303.0,4799817.0,16161.0,297.0,4707300.0,15691.0,300.0,4662009.0,15697.0,297.0,6084284.0,14876.0,409.0,,-0.0215324055418028,-0.021533234075799434
2022-5-15,6102473.823529412,15961.64705882353,"BERGEN TOWER 3(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第3座),欣寶路",9789906.0,14271.0,686.0,10248300.0,14475.0,708.0,6869124.0,15471.0,444.0,4939704.0,16632.0,297.0,6516510.0,16170.0,403.0,4850615.0,16555.0,293.0,4981242.0,16943.0,294.0,4996236.0,16994.0,294.0,6805028.0,15716.0,433.0,6501933.0,15371.0,423.0,4905394.0,16406.0,299.0,6720132.0,16311.0,412.0,4918599.0,16233.0,303.0,4906143.0,16519.0,297.0,4810800.0,16036.0,300.0,4764771.0,16043.0,297.0,6217618.0,15202.0,409.0,,0.011697256948498325,0.011696015450522124
2022-4-15,6031916.94117647,15777.117647058823,"BERGEN TOWER 3(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第3座),欣寶路",9676030.0,14105.0,686.0,10130064.0,14308.0,708.0,6790092.0,15293.0,444.0,4882680.0,16440.0,297.0,6441552.0,15984.0,403.0,4795238.0,16366.0,293.0,4923030.0,16745.0,294.0,4937436.0,16794.0,294.0,6726655.0,15535.0,433.0,6427485.0,15195.0,423.0,4849481.0,16219.0,299.0,6641852.0,16121.0,412.0,4861635.0,16045.0,303.0,4849713.0,16329.0,297.0,4755300.0,15851.0,300.0,4709529.0,15857.0,297.0,6144816.0,15024.0,409.0,,-0.007530518150264065,-0.007533848664370013
2022-3-15,6077685.05882353,15896.882352941177,"BERGEN TOWER 3(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第3座),欣寶路",9749432.0,14212.0,686.0,10206528.0,14416.0,708.0,6842040.0,15410.0,444.0,4919805.0,16565.0,297.0,6490315.0,16105.0,403.0,4832156.0,16492.0,293.0,4960074.0,16871.0,294.0,4973892.0,16918.0,294.0,6777749.0,15653.0,433.0,6476976.0,15312.0,423.0,4887155.0,16345.0,299.0,6691292.0,16241.0,412.0,4898298.0,16166.0,303.0,4887135.0,16455.0,297.0,4791300.0,15971.0,300.0,4745466.0,15978.0,297.0,6191033.0,15137.0,409.0,,0.018656962235254593,0.0186544941914375
2022-2-15,5966370.705882353,15605.764705882353,"BERGEN TOWER 3(Phase 1B,NOVO LAND),YAN PO RD|NOVO LAND,1B期(BERGEN 第3座),欣寶路",9570386.0,13951.0,686.0,10019616.0,14152.0,708.0,6717276.0,15129.0,444.0,4829814.0,16262.0,297.0,6371430.0,15810.0,403.0,4744256.0,16192.0,293.0,4868934.0,16561.0,294.0,4881576.0,16604.0,294.0,6653478.0,15366.0,433.0,6358959.0,15033.0,423.0,4798352.0,16048.0,299.0,6568104.0,15942.0,412.0,4808610.0,15870.0,303.0,4798035.0,16155.0,297.0,4703700.0,15679.0,300.0,4658445.0,15685.0,297.0,6077331.0,14859.0,409.0,,-0.043208486663005696,-0.043212637045585645
