,lumpSum_avg,npsf_avg,final_address,lumpSum_3A,npsf_3A,nfa_3A,lumpSum_3B,npsf_3B,nfa_3B,nfa_avg,lumpSum_change,npsf_change
2020-12-15,29657555.5,12583.0,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",29539985.0,12365.0,2389.0,29775126.000000004,12801.0,2326.0,,0.010155006347964735,0.010155340585236594
2020-11-15,29359410.5,12456.5,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",29243749.0,12241.0,2389.0,29475072.0,12672.0,2326.0,,-0.025275453607516818,-0.02527485425877385
2020-10-15,30120725.5,12779.5,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",30003451.0,12559.0,2389.0,30238000.0,13000.0,2326.0,,-0.013927077015023714,-0.01392746913580245
2020-9-15,30546144.000000004,12960.0,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",30426304.000000004,12736.0,2389.0,30665984.000000004,13184.0,2326.0,,0.03763024115702618,0.0376301040832665
2020-8-15,29438371.0,12490.0,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",29322586.0,12274.0,2389.0,29554156.0,12706.0,2326.0,,-0.052532222807896045,-0.05253176559833117
2020-7-15,31070577.5,13182.5,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",30949495.0,12955.0,2389.0,31191660.0,13410.0,2326.0,,0.03440842226516927,0.03440834902699308
2020-6-15,30037050.0,12744.0,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",29919836.0,12524.0,2389.0,30154263.999999996,12964.0,2326.0,,0.0034643130422600255,0.003464566929133772
2020-5-15,29933351.499999996,12700.0,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",29817108.999999996,12481.0,2389.0,30049593.999999996,12919.0,2326.0,,0.010382006358550466,0.010382274553482729
2020-4-15,29625776.5,12569.5,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",29511317.0,12353.0,2389.0,29740236.0,12786.0,2326.0,,0.007413741715408095,0.0074136410996232804
2020-3-15,29407755.0,12477.0,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",29293918.0,12262.0,2389.0,29521592.0,12692.0,2326.0,,-0.03143919625119573,-0.03143921751280854
2020-2-15,30362321.999999996,12882.0,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",30244739.999999996,12660.0,2389.0,30479903.999999996,13104.0,2326.0,,0.00691760178728118,0.006917575331222947
2020-1-15,30153730.5,12793.5,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",30036897.0,12573.0,2389.0,30270564.0,13014.0,2326.0,,0.02495579256543512,0.024955936548630042
2019-12-15,29419542.5,12482.0,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",29305863.0,12267.0,2389.0,29533222.0,12697.0,2326.0,,-0.023279087351332217,-0.02327947102781802
2019-11-15,30120725.5,12779.5,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",30003451.000000004,12559.0,2389.0,30238000.0,13000.0,2326.0,,-0.013127851973791627,-0.013127919996911097
2019-10-15,30521405.999999996,12949.5,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",30402413.999999996,12726.0,2389.0,30640397.999999996,13173.0,2326.0,,-0.003999433558931509,-0.003999538514786738
2019-9-15,30643964.500000004,13001.5,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",30524253.000000004,12777.0,2389.0,30763676.000000004,13226.0,2326.0,,-0.045481426752123966,-0.04548124219954486
2019-8-15,32104105.0,13621.0,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",31979154.0,13386.0,2389.0,32229056.0,13856.0,2326.0,,0.025407793418694702,0.0254074603831822
2019-7-15,31308622.0,13283.5,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",31186006.000000004,13054.0,2389.0,31431237.999999996,13513.0,2326.0,,0.0013572169833180325,0.001356903245260277
2019-6-15,31266187.0,13265.5,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",31143004.000000004,13036.0,2389.0,31389370.0,13495.0,2326.0,,-0.00848390338772631,-0.008483444203602697
2019-5-15,31533716.0,13379.0,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",31410572.0,13148.0,2389.0,31656860.000000004,13610.0,2326.0,,0.040884426343617886,0.04088380596724628
2019-4-15,30295117.5,12853.5,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",30175459.0,12631.0,2389.0,30414776.0,13076.0,2326.0,,0.009424042268297406,0.009423960419366217
2019-3-15,30012280.5,12733.5,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",29893557.0,12513.0,2389.0,30131004.0,12954.0,2326.0,,0.042277661014236134,0.04227715478431704
2019-2-15,28794899.5,12217.0,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",28679945.0,12005.0,2389.0,28909854.0,12429.0,2326.0,,-0.005090416762151384,-0.005089783785984792
2019-1-15,28942227.5,12279.5,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",28828063.0,12067.0,2389.0,29056392.0,12492.0,2326.0,,0.01689430720746188,0.016893710405366136
2018-12-15,28461392.0,12075.5,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",28347874.0,11866.0,2389.0,28574910.0,12285.0,2326.0,,-0.049584755470635344,-0.049584825469285
2018-11-15,29946270.5,12705.5,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",29826664.999999996,12485.0,2389.0,30065876.0,12926.0,2326.0,,0.0018139439626216891,0.0018135225704711821
2018-10-15,29892048.0,12682.5,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",29771718.0,12462.0,2389.0,30012378.0,12903.0,2326.0,,-0.07941060877171036,-0.07941059049831234
2018-9-15,32470554.5,13776.5,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",32339893.0,13537.0,2389.0,32601216.0,14016.0,2326.0,,,
2018-8-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2018-7-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2018-6-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2018-5-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2018-4-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2018-3-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2018-2-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2018-1-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2017-12-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2017-11-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2017-10-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2017-9-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2017-8-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2017-7-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2017-6-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2017-5-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2017-4-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2017-3-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2017-2-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2017-1-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2016-12-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2016-11-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2016-10-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2016-9-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2016-8-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2016-7-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2016-6-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2016-5-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
2016-4-15,,,"JADE GROVE(Block 3),TSING FAT LANE|琨崙3座,青發里",,,2389.0,,,2326.0,,,
