,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,nfa_avg,lumpSum_change,npsf_change
2022-12-15,4521847.555555556,13363.222222222223,"GRAND JETE(Phase 1),Block 1,CASTLE PEAK RD TAI LAM|飛揚1期,1座,青山公路大欖段",5928846.0,12833.0,462.0,4130102.0,14594.0,283.0,4314600.0,15300.0,282.0,6161253.0,13137.0,469.0,3662835.0,13035.0,281.0,3666440.0,12910.0,284.0,3829868.0,14398.0,266.0,3659232.0,12976.0,282.0,5343452.0,11086.0,482.0,,-0.0402805461741953,-0.04028184524047018
2022-11-15,4711634.777777778,13924.111111111111,"GRAND JETE(Phase 1),Block 1,CASTLE PEAK RD TAI LAM|飛揚1期,1座,青山公路大欖段",6177402.0,13371.0,462.0,4303581.0,15207.0,283.0,4495644.0,15942.0,282.0,6419672.0,13688.0,469.0,3816542.0,13582.0,281.0,3820652.0,13453.0,284.0,3990798.0,15003.0,266.0,3812358.0,13519.0,282.0,5568064.0,11552.0,482.0,,-0.019324491429409285,-0.019329039730175968
2022-10-15,4804478.888888889,14198.555555555555,"GRAND JETE(Phase 1),Block 1,CASTLE PEAK RD TAI LAM|飛揚1期,1座,青山公路大欖段",6298908.0,13634.0,462.0,4388764.0,15508.0,283.0,4583910.0,16255.0,282.0,6545833.0,13957.0,469.0,3891569.0,13849.0,281.0,3896196.0,13719.0,284.0,4069800.0,15300.0,266.0,3887370.0,13785.0,282.0,5677960.0,11780.0,482.0,,-0.05358295188556583,-0.05357685100836174
2022-9-15,5076492.333333333,15002.333333333334,"GRAND JETE(Phase 1),Block 1,CASTLE PEAK RD TAI LAM|飛揚1期,1座,青山公路大欖段",6655572.0,14406.0,462.0,4637521.0,16387.0,283.0,4843632.0,17176.0,282.0,6916343.0,14747.0,469.0,4111873.0,14633.0,281.0,4117148.0000000005,14497.0,284.0,4299358.0,16163.0,266.0,4107048.0,14564.0,282.0,5999936.0,12448.0,482.0,,-0.019826886344541883,-0.019106290546381688
2022-8-15,5179179.333333333,15294.555555555555,"GRAND JETE(Phase 1),Block 1,CASTLE PEAK RD TAI LAM|飛揚1期,1座,青山公路大欖段",6808032.0,14736.0,462.0,4744778.0,16766.0,283.0,4954740.0,17570.0,282.0,7075334.0,15086.0,469.0,4205446.0,14966.0,281.0,4212004.0,14831.0,284.0,4272492.0,16062.0,266.0,4201518.0,14899.0,282.0,6138270.0,12735.0,482.0,,-0.012170956513291808,-0.012050527524582022
2022-7-15,5242991.555555556,15481.111111111111,"GRAND JETE(Phase 1),Block 1,CASTLE PEAK RD TAI LAM|飛揚1期,1座,青山公路大欖段",6895350.0,14925.0,462.0,4807038.0,16986.0,283.0,5019318.0,17799.0,282.0,7167258.0,15282.0,469.0,4229050.0,15050.0,281.0,4266532.0,15023.0,284.0,4328352.0,16272.0,266.0,4256226.0,15093.0,282.0,6217800.0,12900.0,482.0,,-0.01408994705888289,-0.014095469919757742
2022-6-15,5317920.777777778,15702.444444444445,"GRAND JETE(Phase 1),Block 1,CASTLE PEAK RD TAI LAM|飛揚1期,1座,青山公路大欖段",6993756.0,15138.0,462.0,4875524.0,17228.0,283.0,5091228.0,18054.0,282.0,7269969.0,15501.0,469.0,4289746.0,15266.0,281.0,4327308.0,15237.0,284.0,4390330.0,16505.0,266.0,4317420.0,15310.0,282.0,6306006.0,13083.0,482.0,,-0.021510729226608793,-0.021512300161324882
2022-5-15,5434827.888888889,16047.666666666666,"GRAND JETE(Phase 1),Block 1,CASTLE PEAK RD TAI LAM|飛揚1期,1座,青山公路大欖段",7147602.0,15471.0,462.0,4982498.0,17606.0,283.0,5203182.0,18451.0,282.0,7429897.999999999,15842.0,469.0,4384443.0,15603.0,281.0,4421880.0,15570.0,284.0,4487154.0,16869.0,266.0,4412454.0,15647.0,282.0,6444340.0,13370.0,482.0,,0.01171590258444466,0.011712210259391842
2022-4-15,5371891.333333333,15861.888888888889,"GRAND JETE(Phase 1),Block 1,CASTLE PEAK RD TAI LAM|飛揚1期,1座,青山公路大欖段",7064904.0,15292.0,462.0,4924200.0,17400.0,283.0,5143116.0,18238.0,282.0,7344071.0,15659.0,469.0,4333863.0,15423.0,281.0,4370476.0,15389.0,284.0,4435550.0,16675.0,266.0,4361694.0,15467.0,282.0,6369148.0,13214.0,482.0,,-0.007516793860488313,-0.007515399268621659
2022-3-15,5412576.555555556,15982.0,"GRAND JETE(Phase 1),Block 1,CASTLE PEAK RD TAI LAM|飛揚1期,1座,青山公路大欖段",7118958.0,15409.0,462.0,4961273.0,17531.0,283.0,5182032.0,18376.0,282.0,7399882.0,15778.0,469.0,4366740.0,15540.0,281.0,4403136.0,15504.0,284.0,4469332.0,16802.0,266.0,4394970.0,15585.0,282.0,6416866.0,13313.0,482.0,,0.0186709683789974,0.018668290817410504
2022-2-15,5313370.777777778,15689.111111111111,"GRAND JETE(Phase 1),Block 1,CASTLE PEAK RD TAI LAM|飛揚1期,1座,青山公路大欖段",6988674.0,15127.0,462.0,4869864.0,17208.0,283.0,5087280.0,18040.0,282.0,7264341.0,15489.0,469.0,4286936.0,15256.0,281.0,4322196.0,15219.0,284.0,4387670.0,16495.0,266.0,4314600.0,15300.0,282.0,6298776.0,13068.0,482.0,,-0.04319258732786935,-0.04319778827324039
