,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,lumpSum_Q,npsf_Q,nfa_Q,nfa_avg,lumpSum_change,npsf_change
2020-12-15,4721858.866666666,16920.133333333335,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",5108466.0,16014.0,319.0,5442360.0,17556.0,310.0,5219060.0,16945.0,308.0,5159616.0,16752.0,308.0,5015180.0,16178.0,310.0,3995426.9999999995,17601.0,227.0,5810000.0,16600.0,350.0,5146774.0,16391.0,314.0,3949553.0,17711.0,223.0,5125692.0,16068.0,319.0,5062211.0,15869.0,319.0,3857694.0,17377.0,222.0,4017791.0,18017.0,223.0,3844519.9999999995,17240.0,223.0,4073539.0,17483.0,233.0,,0.010163420602575579,0.010157213930348297
2020-11-15,4674351.466666667,16750.0,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",5057426.0,15854.0,319.0,5387800.0,17380.0,310.0,5166700.0,16775.0,308.0,5107256.0,16582.0,308.0,4963720.0,16012.0,310.0,3955020.9999999995,17423.0,227.0,5751550.0,16433.0,350.0,5094964.0,16226.0,314.0,3910528.0,17536.0,223.0,5074014.0,15906.0,319.0,5010852.0,15708.0,319.0,3819287.9999999995,17204.0,222.0,3976759.0,17833.0,223.0,3806164.0,17068.0,223.0,4033229.9999999995,17310.0,233.0,,-0.023895418014556635,-0.024033064400222237
2020-10-15,4788781.4,17162.466666666667,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",5188854.0,16266.0,319.0,5429340.0,17514.0,310.0,5300680.0,17210.0,308.0,5239080.0,17010.0,308.0,5091130.0,16423.0,310.0,4056944.0,17872.0,227.0,5900650.0,16859.0,350.0,5226530.0,16645.0,314.0,4012662.0,17994.0,223.0,5205123.0,16317.0,319.0,5140047.0,16113.0,319.0,3918521.9999999995,17651.0,222.0,4078892.9999999995,18291.0,223.0,3904952.9999999995,17511.0,223.0,4138313.0,17761.0,233.0,,-0.013907537932728142,-0.013912030919028928
2020-9-15,4856320.866666666,17404.6,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",5262543.0,16497.0,319.0,5506530.0,17763.0,310.0,5375216.0,17452.0,308.0,5312384.0,17248.0,308.0,5161810.0,16651.0,310.0,4113920.9999999995,18123.0,227.0,5983950.0,17097.0,350.0,5300320.0,16880.0,314.0,4069973.0,18251.0,223.0,5278174.0,16546.0,319.0,5212460.0,16340.0,319.0,3974022.0,17901.0,222.0,4135757.9999999995,18546.0,223.0,3960256.9999999995,17759.0,223.0,4197495.0,18015.0,233.0,,0.03682199982945655,0.036728615677865006
2020-8-15,4683852.066666666,16788.0,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",5006386.0,15694.0,319.0,5392450.0,17395.0,310.0,5180252.0,16819.0,308.0,5119268.0,16621.0,308.0,4975190.0,16049.0,310.0,3964555.0,17465.0,227.0,5767300.0,16478.0,350.0,5108152.0,16268.0,314.0,3923239.0,17593.0,223.0,5086774.0,15946.0,319.0,5023293.0,15747.0,319.0,3830166.0,17253.0,222.0,3985233.0,17871.0,223.0,3817091.0,17117.0,223.0,4078432.0,17504.0,233.0,,-0.04695304412079371,-0.0470063313414647
2020-7-15,4914607.866666666,17616.066666666666,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",5256482.0,16478.0,319.0,5690980.0,18358.0,310.0,5316388.0,17261.0,308.0,5293288.0,17186.0,308.0,5252020.0,16942.0,310.0,4184064.0,18432.0,227.0,6087200.0,17392.0,350.0,5391066.0,17169.0,314.0,4141556.0000000005,18572.0,223.0,5355372.0,16788.0,319.0,5299866.0,16614.0,319.0,4042842.0,18211.0,222.0,4205557.0,18859.0,223.0,4028941.0,18067.0,223.0,4173496.0,17912.0,233.0,,0.033211880430559004,0.033353929420598005
2020-6-15,4756631.2,17047.466666666667,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",5214374.0,16346.0,319.0,5481110.0,17681.0,310.0,5138980.0,16685.0,308.0,5116804.0,16613.0,308.0,5108800.0,16480.0,310.0,4044913.0,17819.0,227.0,5884900.0,16814.0,350.0,5211772.0,16598.0,314.0,4004411.0,17957.0,223.0,5114527.0,16033.0,319.0,5125054.0,16066.0,319.0,3908754.0000000005,17607.0,222.0,4065066.9999999995,18229.0,223.0,3895141.0,17467.0,223.0,4034861.0,17317.0,233.0,,0.0010191531255894226,0.0009080945670894014
2020-5-15,4751788.4,17032.0,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",5198743.0,16297.0,319.0,5462200.0,17620.0,310.0,5120808.0,16626.0,308.0,5235692.0,16999.0,308.0,5102600.0,16460.0,310.0,4101209.0,18067.0,227.0,5864600.0,16756.0,350.0,5193560.0,16540.0,314.0,3991254.0,17898.0,223.0,5017232.0,15728.0,319.0,5140047.0,16113.0,319.0,3895433.9999999995,17547.0,222.0,4050349.0,18163.0,223.0,3881984.0000000005,17408.0,223.0,4021114.0,17258.0,233.0,,0.008025729899414191,0.007500650687362498
2020-4-15,4713955.466666667,16905.2,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",5145151.0,16129.0,319.0,5406400.0,17440.0,310.0,5068756.0,16457.0,308.0,5186412.0,16839.0,308.0,5050520.0,16292.0,310.0,4158185.9999999995,18318.0,227.0,5804750.0,16585.0,350.0,5140494.0,16371.0,314.0,3950444.9999999995,17715.0,223.0,4966830.0,15570.0,319.0,5086455.0,15945.0,319.0,3855696.0000000005,17368.0,222.0,4067074.0000000005,18238.0,223.0,3842290.0,17230.0,223.0,3979873.0,17081.0,233.0,,0.007761145325732022,0.007733515610097275
2020-3-15,4677651.533333333,16775.466666666667,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",5106552.0,16008.0,319.0,5366720.0,17312.0,310.0,5031796.0,16337.0,308.0,5148220.0,16715.0,308.0,5013940.0,16174.0,310.0,4127087.0,18181.0,227.0,5761700.0,16462.0,350.0,5102500.0,16250.0,314.0,3920563.0,17581.0,223.0,4931102.0,15458.0,319.0,5027440.0,15760.0,319.0,3827058.0,17239.0,222.0,4036523.0,18101.0,223.0,3813523.0,17101.0,223.0,3950049.0000000005,16953.0,233.0,,-0.031518839279751854,-0.031510397622960595
2020-2-15,4829883.866666666,17321.266666666666,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",5272113.0,16527.0,319.0,5541560.0,17876.0,310.0,5195960.0,16870.0,308.0,5316080.0,17260.0,308.0,5177930.0,16703.0,310.0,4261017.0,18771.0,227.0,5949300.0,16998.0,350.0,5268606.0,16779.0,314.0,4047450.0,18150.0,223.0,5092197.0,15963.0,319.0,5191087.0,16273.0,319.0,3951378.0,17799.0,222.0,4168093.0,18691.0,223.0,3937288.0000000005,17656.0,223.0,4078198.9999999995,17503.0,233.0,,0.006877842865297801,0.006886475845017559
