,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5647909.398346717,9600.75,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",6584063.593386865,10900.0,684.0,5937804.0,8681.0,684.0,5003855.0,9353.0,535.0,5065915.0,9469.0,535.0,,-0.0399971189945133,-0.03785639124116846
2022-11-15,5883221.300785281,9978.5,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",6853685.203141125,11257.0,684.0,6186780.0,9045.0,684.0,5214110.0,9746.0,535.0,5278310.0,9866.0,535.0,,-0.019289459953657495,-0.014639445034191567
2022-10-15,5998937.566743471,10126.75,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",6990042.266973884,11289.0,684.0,6307848.0,9222.0,684.0,5316295.0,9937.0,535.0,5381565.0,10059.0,535.0,,-0.05363022984734567,-0.04005024053842687
2022-9-15,6338893.903781194,10549.25,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7387199.615124775,11325.0,684.0,6664896.0,9744.0,684.0,5617500.0,10500.0,535.0,5685980.0,10628.0,535.0,,0.006255054332561905,0.016183022275737535
2022-8-15,6299490.25,10381.25,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",6871464.0,10046.0,684.0,6818112.0,9968.0,684.0,5746435.0,10741.0,535.0,5761950.0,10770.0,535.0,,-0.01281505011583517,-0.012813807531380728
2022-7-15,6381266.5,10516.0,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",6961068.0,10177.0,684.0,6906348.0,10097.0,684.0,5821335.0,10881.0,535.0,5836315.0,10909.0,535.0,,-0.017602705089867055,-0.018045147886173174
2022-6-15,6495606.75,10709.25,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7058196.0,10319.0,684.0,7010316.0,10249.0,684.0,5980230.0,11178.0,535.0,5933685.0,11091.0,535.0,,-0.027079196481426204,-0.026453944228540305
2022-5-15,6676398.25,11000.25,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7290755.999999999,10659.0,684.0,7238772.0,10583.0,684.0,6111840.0,11424.0,535.0,6064225.0,11335.0,535.0,,0.011725373406643591,0.011726564116713911
2022-4-15,6599022.25,10872.75,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7205940.0,10535.0,684.0,7155324.0,10461.0,684.0,6041220.0,11292.0,535.0,5993605.0,11203.0,535.0,,-0.009194238076278838,-0.009406887755102011
2022-3-15,6660258.25,10976.0,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7261344.0,10616.0,684.0,7210044.0,10541.0,684.0,6087230.0,11378.0,535.0,6082415.0,11369.0,535.0,,0.02129023900983462,0.02099951163926428
2022-2-15,6521415.75,10750.25,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7141643.999999999,10441.0,684.0,6998004.0,10231.0,684.0,5975415.0,11169.0,535.0,5970600.0,11160.0,535.0,,-0.04294002671995101,-0.04295475284324857
2022-1-15,6814009.5,11232.75,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7461755.999999999,10909.0,684.0,7310591.999999999,10688.0,684.0,6244520.0,11672.0,535.0,6239170.0,11662.0,535.0,,0.002786097627801132,0.002767424732742718
2021-12-15,6795077.75,11201.75,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7440552.0,10878.0,684.0,7288704.000000001,10656.0,684.0,6228470.0,11642.0,535.0,6222585.0,11631.0,535.0,,-0.020213118150852583,-0.020226537216828433
2021-11-15,6935261.0,11433.0,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7593767.999999999,11102.0,684.0,7437816.000000001,10874.0,684.0,6357940.0,11884.0,535.0,6351520.0,11872.0,535.0,,0.02510087108123371,0.025082375092461806
