,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_20,npsf_20,nfa_20,lumpSum_21,npsf_21,nfa_21,lumpSum_22,npsf_22,nfa_22,lumpSum_3,npsf_3,nfa_3,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,nfa_avg,lumpSum_change,npsf_change
2020-12-15,4759637.176470588,15431.29411764706,"STARFRONT ROYALE(Block 1,Phase 2,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,2期,1座(帝御•星濤),8 青山公路青山灣段",,,996.0,5787072.0,14184.0,408.0,3583424.0,17228.0,208.0,3547232.0,17054.0,208.0,5814828.0,14796.0,393.0,3584790.0,16830.0,213.0,3447808.0,16576.0,208.0,3241888.0,15586.0,208.0,3567111.0,16747.0,213.0,9996812.0,12236.0,817.0,3578640.0,16120.0,222.0,5932212.0,13828.0,429.0,5713321.0,13969.0,409.0,3617136.0,16746.0,216.0,5097510.0,14905.0,342.0,5075714.0,14798.0,343.0,4808234.0,15662.0,307.0,4520100.0,15067.0,300.0,,0.010122909694831872,0.010115323155118316
2020-11-15,4711938.647058823,15276.764705882353,"STARFRONT ROYALE(Block 1,Phase 2,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,2期,1座(帝御•星濤),8 青山公路青山灣段",,,996.0,5729136.0,14042.0,408.0,3547440.0,17055.0,208.0,3512080.0,16885.0,208.0,5755485.0,14645.0,393.0,3549006.0,16662.0,213.0,3413072.0,16409.0,208.0,3209440.0,15430.0,208.0,3531540.0,16580.0,213.0,9896321.0,12113.0,817.0,3543342.0,15961.0,222.0,5873010.0,13690.0,429.0,5656061.0,13829.0,409.0,3580416.0,16576.0,216.0,5046552.0,14756.0,342.0,5024607.0,14649.0,343.0,4760649.0,15507.0,307.0,4474800.0,14916.0,300.0,,-0.025242939493489547,-0.02523749291556099
2020-10-15,4833962.05882353,15672.29411764706,"STARFRONT ROYALE(Block 1,Phase 2,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,2期,1座(帝御•星濤),8 青山公路青山灣段",,,996.0,5877648.0,14406.0,408.0,3639376.0,17497.0,208.0,3602975.9999999995,17322.0,208.0,5905218.0,15026.0,393.0,3640809.0000000005,17093.0,213.0,3501472.0,16834.0,208.0,3292640.0,15830.0,208.0,3622704.0000000005,17008.0,213.0,10152859.0,12427.0,817.0,3634805.9999999995,16373.0,222.0,6024876.0,14044.0,429.0,5802483.0,14187.0,409.0,3673296.0,17006.0,216.0,5177196.0,15138.0,342.0,5154947.0,15029.0,343.0,4883449.0,15907.0,307.0,4590600.0,15302.0,300.0,,-0.013901922489956475,-0.013897936221241802
2020-9-15,4902110.823529412,15893.176470588236,"STARFRONT ROYALE(Block 1,Phase 2,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,2期,1座(帝御•星濤),8 青山公路青山灣段",,,996.0,5960472.0,14609.0,408.0,3690752.0000000005,17744.0,208.0,3653519.9999999995,17565.0,208.0,5989713.0,15241.0,393.0,3691929.0000000005,17333.0,213.0,3550975.9999999995,17072.0,208.0,3338816.0,16052.0,208.0,3673611.0,17247.0,213.0,10295834.0,12602.0,817.0,3685644.0,16602.0,222.0,6109818.0,14242.0,429.0,5883874.0,14386.0,409.0,3725568.0,17248.0,216.0,5250384.0,15352.0,342.0,5227663.0,15241.0,343.0,4951910.0,16130.0,307.0,4655400.0,15518.0,300.0,,0.037620481015257834,0.037628751161736806
2020-8-15,4724377.470588235,15316.823529411764,"STARFRONT ROYALE(Block 1,Phase 2,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,2期,1座(帝御•星濤),8 青山公路青山灣段",,,996.0,5744640.0,14080.0,408.0,3557008.0,17101.0,208.0,3520608.0,16926.0,208.0,5773563.0,14691.0,393.0,3557952.0,16704.0,213.0,3422432.0,16454.0,208.0,3217552.0,15469.0,208.0,3540273.0,16621.0,213.0,9922465.0,12145.0,817.0,3551334.0,15997.0,222.0,5888454.0,13726.0,429.0,5670376.0,13864.0,409.0,3591000.0,16625.0,216.0,5060232.0,14796.0,342.0,5038327.0,14689.0,343.0,4771701.0,15543.0,307.0,4486500.0,14955.0,300.0,,-0.052527282522465635,-0.052518202889902055
2020-7-15,4986293.94117647,16165.823529411764,"STARFRONT ROYALE(Block 1,Phase 2,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,2期,1座(帝御•星濤),8 青山公路青山灣段",,,996.0,6063288.0,14861.0,408.0,3754400.0,18050.0,208.0,3715504.0,17863.0,208.0,6094644.0,15508.0,393.0,3755190.0,17630.0,213.0,3612336.0,17367.0,208.0,3395600.0,16325.0,208.0,3736233.0,17541.0,213.0,10473123.0,12819.0,817.0,3747582.0,16881.0,222.0,6214494.0,14486.0,429.0,5984897.0,14633.0,409.0,3790584.0000000005,17549.0,216.0,5340672.0,15616.0,342.0,5317529.0,15503.0,343.0,5035721.0,16403.0,307.0,4735200.0,15784.0,300.0,,0.03442831679493086,0.03443356632827821
2020-6-15,4820337.823529412,15627.70588235294,"STARFRONT ROYALE(Block 1,Phase 2,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,2期,1座(帝御•星濤),8 青山公路青山灣段",,,996.0,5862144.0,14368.0,408.0,3629392.0,17449.0,208.0,3591536.0,17267.0,208.0,5892642.0,14994.0,393.0,3630159.0000000005,17043.0,213.0,3492320.0,16790.0,208.0,3282448.0,15781.0,208.0,3611627.9999999995,16956.0,213.0,10124264.0,12392.0,817.0,3622374.0,16317.0,222.0,6007716.0,14004.0,429.0,5785305.0,14145.0,409.0,3664872.0,16967.0,216.0,5163174.0,15097.0,342.0,5140884.0,14988.0,343.0,4867485.0,15855.0,307.0,4577400.0,15258.0,300.0,,0.0034765564494192436,0.003490124533989114
2020-5-15,4803637.705882353,15573.35294117647,"STARFRONT ROYALE(Block 1,Phase 2,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,2期,1座(帝御•星濤),8 青山公路青山灣段",,,996.0,5841744.0,14318.0,408.0,3616912.0000000005,17389.0,208.0,3578848.0,17206.0,208.0,5873385.0,14945.0,393.0,3617378.9999999995,16983.0,213.0,3480256.0,16732.0,208.0,3270800.0,15725.0,208.0,3598848.0,16896.0,213.0,10089950.0,12350.0,817.0,3609276.0,16258.0,222.0,5986695.0,13955.0,429.0,5765264.0,14096.0,409.0,3652560.0,16910.0,216.0,5145390.0,15045.0,342.0,5123048.0,14936.0,343.0,4849986.0,15798.0,307.0,4561500.0,15205.0,300.0,,0.010355252124782055,0.010357474058610983
2020-4-15,4754404.647058823,15413.70588235294,"STARFRONT ROYALE(Block 1,Phase 2,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,2期,1座(帝御•星濤),8 青山公路青山灣段",,,996.0,5782176.0,14172.0,408.0,3580096.0,17212.0,208.0,3541824.0,17028.0,208.0,5814042.0,14794.0,393.0,3580104.0,16808.0,213.0,3444896.0,16562.0,208.0,3237104.0,15563.0,208.0,3561786.0,16722.0,213.0,9986191.0,12223.0,817.0,3571758.0,16089.0,222.0,5925348.0,13812.0,429.0,5705959.0,13951.0,409.0,3615624.0,16739.0,216.0,5093064.0,14892.0,342.0,5070569.0,14783.0,343.0,4799638.0,15634.0,307.0,4514700.0,15049.0,300.0,,0.00745840680083365,0.007470490983890077
2020-3-15,4719206.882352941,15299.411764705883,"STARFRONT ROYALE(Block 1,Phase 2,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,2期,1座(帝御•星濤),8 青山公路青山灣段",,,996.0,5739744.0,14068.0,408.0,3553680.0,17085.0,208.0,3515200.0,16900.0,208.0,5771991.0,14687.0,393.0,3553479.0,16683.0,213.0,3419520.0,16440.0,208.0,3212768.0,15446.0,208.0,3535161.0,16597.0,213.0,9912661.0,12133.0,817.0,3544674.0,15967.0,222.0,5881590.0,13710.0,429.0,5663423.0,13847.0,409.0,3589488.0,16618.0,216.0,5055444.0,14782.0,342.0,5033182.0,14674.0,343.0,4763412.0,15516.0,307.0,4481100.0,14937.0,300.0,,-0.03147479002806719,-0.031470054851959306
2020-2-15,4872570.0,15796.529411764706,"STARFRONT ROYALE(Block 1,Phase 2,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,2期,1座(帝御•星濤),8 青山公路青山灣段",,,996.0,5926608.0,14526.0,408.0,3669120.0,17640.0,208.0,3629184.0,17448.0,208.0,5960631.0,15167.0,393.0,3668925.0,17225.0,213.0,3530800.0,16975.0,208.0,3316976.0,15947.0,208.0,3649968.0,17136.0,213.0,10234559.0,12527.0,817.0,3659226.0,16483.0,222.0,6072495.0,14155.0,429.0,5847473.0,14297.0,409.0,3706560.0,17160.0,216.0,5219946.0,15263.0,342.0,5196793.0,15151.0,343.0,4917526.0,16018.0,307.0,4626900.0,15423.0,300.0,,0.006912279188886705,0.00691798902120766
