,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_change,npsf_change
2019-12-15,4640222.0,16149.857142857143,7,32481554.0,113049.0,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",5330520.0,17085.0,312.0,6222601.0,16247.0,383.0,3702692.0,16604.0,223.0,3578481.0,16047.0,223.0,4993576.0,15508.0,322.0,3787647.9999999995,16256.0,233.0,4866036.0,15302.0,318.0,-0.03085620533551381,-0.03086181621788453
2019-11-15,4787960.285714285,16664.14285714286,7,33515722.0,116649.0,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",5500248.0,17629.0,312.0,6420612.0,16764.0,383.0,3821105.0,17135.0,223.0,3692656.9999999995,16559.0,223.0,5152322.0,16001.0,322.0,3907876.0,16772.0,233.0,5020902.0,15789.0,318.0,-0.01134867041723675,-0.011348611723226099
2019-10-15,4842921.0,16855.428571428572,7,33900447.0,117988.0,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",5563584.0,17832.0,312.0,6494148.0,16956.0,383.0,3864813.0,17331.0,223.0,3735027.0,16749.0,223.0,5211570.0,16185.0,322.0,3952845.0,16965.0,233.0,5078460.0,15970.0,318.0,-0.0017566495602207022,-0.001751343119421267
2019-9-15,4851443.285714285,16885.0,7,33960103.0,118195.0,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",5573256.0,17863.0,312.0,6505638.0,16986.0,383.0,3871057.0000000005,17359.0,223.0,3741493.9999999995,16778.0,223.0,5220908.0,16214.0,322.0,3960068.0000000005,16996.0,233.0,5087682.0,15999.0,318.0,-0.04897732327470283,-0.04896967356233062
2019-8-15,5101290.857142857,17754.428571428572,7,35709036.0,124281.0,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",5860296.0,18783.0,312.0,6841146.0,17862.0,383.0,4069750.0,18250.0,223.0,3933943.0,17641.0,223.0,5489778.0,17049.0,322.0,4164409.0,17873.0,233.0,5349714.0,16823.0,318.0,0.024922800076278673,0.02493031387619804
2019-7-15,4977244.0,17322.571428571428,7,34840708.0,121258.0,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",5717712.0,18326.0,312.0,6674924.0,17428.0,383.0,3970292.0,17804.0,223.0,3838053.0,17211.0,223.0,5356470.0,16635.0,322.0,4063287.0,17439.0,233.0,5219970.0,16415.0,318.0,0.0022527214607002133,0.0022564780757945435
2019-6-15,4966056.857142857,17283.571428571428,7,34762398.0,120985.0,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",5704608.0,18284.0,312.0,6659987.0,17389.0,383.0,3960702.9999999995,17761.0,223.0,3829356.0,17172.0,223.0,5344556.0,16598.0,322.0,4054666.0000000005,17402.0,233.0,5208522.0,16379.0,318.0,-0.009043168615038732,-0.00903446694187815
2019-5-15,5011375.571428572,17441.14285714286,7,35079629.0,122088.0,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",5756712.0,18451.0,312.0,6721267.0,17549.0,383.0,3996159.9999999995,17920.0,223.0,3864144.0000000005,17328.0,223.0,5393178.0,16749.0,322.0,4091946.0,17562.0,233.0,5256222.0,16529.0,318.0,0.0416730955324105,0.04167982048241092
2019-4-15,4810890.857142857,16743.285714285714,7,33676236.0,117203.0,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",5526456.0,17713.0,312.0,6452401.0,16847.0,383.0,3835600.0,17200.0,223.0,3709382.0,16634.0,223.0,5177760.0,16080.0,322.0,3928613.0000000005,16861.0,233.0,5046024.0,15868.0,318.0,0.008730840321477418,0.00873584191138499
2019-3-15,4769251.285714285,16598.285714285714,7,33384759.0,116188.0,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",5478408.0,17559.0,312.0,6396866.0,16702.0,383.0,3801927.0,17049.0,223.0,3677270.0,16490.0,223.0,5133002.0,15941.0,322.0,3894827.9999999995,16716.0,233.0,5002458.0,15731.0,318.0,0.04243879043128884,0.04244686291574329
2019-2-15,4575090.0,15922.42857142857,7,32025630.0,111457.0,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",5255328.0,16844.0,312.0,6136809.0,16023.0,383.0,3646496.0,16352.0,223.0,3527414.0,15818.0,223.0,4924024.0,15292.0,322.0,3736621.0,16037.0,233.0,4798938.0,15091.0,318.0,-0.002458622470581484,-0.0024523185150049365
