,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,nfa_avg,lumpSum_change,npsf_change
2020-12-15,4606435.153846154,15090.538461538461,"SEACOAST ROYALE(Block 5,Phase 1,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,1期,5座(帝御•金灣),8 青山公路青山灣段",6305102.0,14941.0,422.0,3290790.0,15306.0,215.0,3331959.0,15643.0,213.0,3242034.0,15662.0,207.0,3218550.0,14970.0,215.0,5369616.0,13698.0,392.0,5363926.0,15458.0,347.0,6223275.0,14643.0,425.0,4677750.0,14850.0,315.0,4491600.0,14775.0,304.0,4745839.0,14693.0,323.0,3476376.0,16398.0,212.0,6146840.0,15140.0,406.0,,0.010151094901998947,0.010159419991349283
2020-11-15,4560144.692307692,14938.76923076923,"SEACOAST ROYALE(Block 5,Phase 1,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,1期,5座(帝御•金灣),8 青山公路青山灣段",6241380.0,14790.0,422.0,3257680.0,15152.0,215.0,3298305.0,15485.0,213.0,3209328.0,15504.0,207.0,3186085.0,14819.0,215.0,5316304.0,13562.0,392.0,5309794.0,15302.0,347.0,6161225.0,14497.0,425.0,4630815.0,14701.0,315.0,4446000.0,14625.0,304.0,4698035.0,14545.0,323.0,3441396.0,16233.0,212.0,6085534.0,14989.0,406.0,,-0.025222985499270933,-0.025217338928263167
2020-10-15,4678141.384615385,15325.23076923077,"SEACOAST ROYALE(Block 5,Phase 1,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,1期,5座(帝御•金灣),8 青山公路青山灣段",6402584.0,15172.0,422.0,3342175.0,15545.0,215.0,3383505.0,15885.0,213.0,3292128.0,15904.0,207.0,3268430.0,15202.0,215.0,5454288.0,13914.0,392.0,5446859.0,15697.0,347.0,6321025.0,14873.0,425.0,4750830.0,15082.0,315.0,4560304.0,15001.0,304.0,4819806.0,14922.0,323.0,3530436.0,16653.0,212.0,6243468.0,15378.0,406.0,,-0.01387252977783393,-0.0138643462077227
2020-9-15,4743952.0,15540.692307692309,"SEACOAST ROYALE(Block 5,Phase 1,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,1期,5座(帝御•金灣),8 青山公路青山灣段",6492470.0,15385.0,422.0,3389260.0,15764.0,215.0,3431004.0,16108.0,213.0,3338082.0,16126.0,207.0,3314225.0,15415.0,215.0,5531512.0,14111.0,392.0,5523199.0,15917.0,347.0,6410700.0,15084.0,425.0,4818240.0,15296.0,315.0,4623840.0,15210.0,304.0,4887636.0,15132.0,323.0,3580043.9999999995,16887.0,212.0,6331164.0,15594.0,406.0,,0.037624201493476006,0.03762120963102977
2020-8-15,4571936.538461538,14977.23076923077,"SEACOAST ROYALE(Block 5,Phase 1,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,1期,5座(帝御•金灣),8 青山公路青山灣段",6256994.0,14827.0,422.0,3266495.0,15193.0,215.0,3306612.0,15524.0,213.0,3217194.0,15542.0,207.0,3194040.0,14856.0,215.0,5331200.0,13600.0,392.0,5322980.0,15340.0,347.0,6178225.0,14537.0,425.0,4643730.0,14742.0,315.0,4455728.0,14657.0,304.0,4710309.0,14583.0,323.0,3450300.0,16275.0,212.0,6101368.0,15028.0,406.0,,-0.05254676385694712,-0.05255372158206162
2020-7-15,4825501.0,15808.0,"SEACOAST ROYALE(Block 5,Phase 1,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,1期,5座(帝御•金灣),8 青山公路青山灣段",6604300.0,15650.0,422.0,3447525.0,16035.0,215.0,3490218.0,16386.0,213.0,3395835.0,16405.0,207.0,3371200.0,15680.0,215.0,5626376.0,14353.0,392.0,5618624.0,16192.0,347.0,6520350.0,15342.0,425.0,4901085.0,15559.0,315.0,4703488.0,15472.0,304.0,4971616.0,15392.0,323.0,3641736.0000000005,17178.0,212.0,6439160.0,15860.0,406.0,,0.034387296295708136,0.034377925647039786
2020-6-15,4665081.461538462,15282.615384615385,"SEACOAST ROYALE(Block 5,Phase 1,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,1期,5座(帝御•金灣),8 青山公路青山灣段",6385282.0,15131.0,422.0,3332930.0,15502.0,215.0,3374346.0,15842.0,213.0,3283227.0,15861.0,207.0,3259400.0,15160.0,215.0,5439000.0,13875.0,392.0,5431938.0,15654.0,347.0,6303175.0,14831.0,425.0,4737915.0,15041.0,315.0,4547536.0,14959.0,304.0,4806240.0,14880.0,323.0,3520684.0,16607.0,212.0,6224386.0,15331.0,406.0,,0.0034472348359426697,0.0034395155384281395
2020-5-15,4649055.076923077,15230.23076923077,"SEACOAST ROYALE(Block 5,Phase 1,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,1期,5座(帝御•金灣),8 青山公路青山灣段",6363760.0,15080.0,422.0,3321320.0,15448.0,215.0,3363057.0,15789.0,213.0,3272256.0,15808.0,207.0,3248220.0,15108.0,215.0,5419792.0,13826.0,392.0,5413547.0,15601.0,347.0,6281075.0,14779.0,425.0,4721220.0,14988.0,315.0,4532640.0,14910.0,304.0,4789767.0,14829.0,323.0,3508600.0,16550.0,212.0,6202462.0,15277.0,406.0,,0.01031905055306681,0.010312697732329124
2020-4-15,4601571.230769231,15074.76923076923,"SEACOAST ROYALE(Block 5,Phase 1,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,1期,5座(帝御•金灣),8 青山公路青山灣段",6299194.0,14927.0,422.0,3287350.0,15290.0,215.0,3328764.0,15628.0,213.0,3238929.0,15647.0,207.0,3215325.0,14955.0,215.0,5363736.0,13683.0,392.0,5358721.0,15443.0,347.0,6216475.0,14627.0,425.0,4672710.0,14834.0,315.0,4486736.0,14759.0,304.0,4740994.0,14678.0,323.0,3472772.0,16381.0,212.0,6138720.0,15120.0,406.0,,0.007429597222006645,0.007417917122896744
2020-3-15,4567635.538461538,14963.76923076923,"SEACOAST ROYALE(Block 5,Phase 1,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,1期,5座(帝御•金灣),8 青山公路青山灣段",6252774.0,14817.0,422.0,3263055.0,15177.0,215.0,3304482.0,15514.0,213.0,3215331.0,15533.0,207.0,3191675.0,14845.0,215.0,5323752.0,13581.0,392.0,5319510.0,15330.0,347.0,6170150.0,14518.0,425.0,4638060.0,14724.0,315.0,4454512.0,14653.0,304.0,4705787.0,14569.0,323.0,3447332.0,16261.0,212.0,6092842.0,15007.0,406.0,,-0.03150761169777194,-0.031514644601436936
2020-2-15,4716232.769230769,15450.692307692309,"SEACOAST ROYALE(Block 5,Phase 1,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,1期,5座(帝御•金灣),8 青山公路青山灣段",6456600.0,15300.0,422.0,3369050.0,15670.0,215.0,3412047.0,16019.0,213.0,3320280.0,16040.0,207.0,3295735.0,15329.0,215.0,5496624.0,14022.0,392.0,5492663.0,15829.0,347.0,6370325.0,14989.0,425.0,4788945.0,15203.0,315.0,4599824.0,15131.0,304.0,4858889.0,15043.0,323.0,3559480.0,16790.0,212.0,6290564.0,15494.0,406.0,,0.006862182202843625,0.006852405108976889
