,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2020-12-15,95111678.5,47733.5,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",103554600.0,48390.0,2140.0,86668757.0,47077.0,1841.0,,0.0401271137352146,0.04012681948923569
2020-11-15,91442360.5,45892.0,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",99559220.0,46523.0,2140.0,83325501.0,45261.0,1841.0,,0.1338367898333077,0.13383570105003084
2020-10-15,80648609.5,40475.0,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",87806340.0,41031.0,2140.0,73490879.0,39919.0,1841.0,,-0.17042398391386826,-0.17042426726788273
2020-9-15,97216660.0,48790.0,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",105844400.0,49460.0,2140.0,88588920.00000001,48120.0,1841.0,,0.003765644367511367,0.003764889830682794
2020-8-15,96851950.0,48607.0,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",105446359.99999999,49274.0,2140.0,88257540.0,47940.0,1841.0,,0.04124605992790653,0.04124760344033507
2020-7-15,93015430.0,46681.5,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",101271220.0,47323.0,2140.0,84759640.0,46040.0,1841.0,,-0.019534980814744696,-0.01953309599571529
2020-6-15,94868688.0,47611.5,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",103291380.0,48267.0,2140.0,86445996.0,46956.0,1841.0,,-0.059471657861612126,-0.05947019082612304
2020-5-15,100867442.0,50622.0,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",109824799.99999999,51320.0,2140.0,91910084.0,49924.0,1841.0,,0.014284733144441786,0.014286000520948194
2020-4-15,99446870.0,49909.0,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",108279720.0,50598.0,2140.0,90614020.0,49220.0,1841.0,,0.04423872031673115,0.04424149222190832
2020-3-15,95233846.5,47794.5,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",103695840.0,48456.0,2140.0,86771853.0,47133.0,1841.0,,-0.0029430888443433556,-0.002941452576900261
2020-2-15,95514955.5,47935.5,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",104003999.99999999,48600.0,2140.0,87025911.0,47271.0,1841.0,,0.030160451326430193,0.030162039026906173
2020-1-15,92718523.0,46532.0,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",100960920.0,47178.0,2140.0,84476126.0,45886.0,1841.0,,-0.02527578369806016,-0.02527310242257297
2019-12-15,95122827.0,47738.5,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",103582420.0,48403.0,2140.0,86663234.0,47074.0,1841.0,,-0.025468154407051746,-0.02546645980484219
2019-11-15,97608741.5,48986.0,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",106291660.00000001,49669.0,2140.0,88925823.0,48303.0,1841.0,,-0.04209366637041623,-0.042091574840873336
2019-10-15,101898002.0,51138.5,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",110965420.0,51853.0,2140.0,92830584.0,50424.0,1841.0,,0.13807803721805945,0.13808029554457657
2019-9-15,89535162.5,44934.0,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",97504820.0,45563.0,2140.0,81565505.0,44305.0,1841.0,,-0.1649837944338668,-0.16498178844867317
2019-8-15,107225658.5,53812.0,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",116773380.0,54567.0,2140.0,97677937.0,53057.0,1841.0,,0.004280696177807908,0.004283114822936529
2019-7-15,106768614.5,53582.5,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",116279040.0,54336.0,2140.0,97258189.0,52829.0,1841.0,,0.004543607722032661,0.004546306711661119
