,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_H,npsf_H,nfa_H,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,nfa_avg,lumpSum_change,npsf_change
2020-12-15,5252046.916666667,22259.0,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",5769472.0,22537.0,256.0,5379328.0,21013.0,256.0,5664512.0,22127.0,256.0,5691648.0,22233.0,256.0,5757440.0,22490.0,256.0,5585594.0,21566.0,259.0,4809222.0,24289.0,198.0,5901731.0,23327.0,253.0,5457255.0,21401.0,255.0,4291645.0,21785.0,197.0,4171116.0,21612.0,193.0,4545600.0,22728.0,200.0,,-0.05588679598982571,-0.05588525337640804
2020-11-15,5562941.916666667,23576.583333333332,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",6110720.0,23870.0,256.0,5697792.0,22257.0,256.0,5999104.0,23434.0,256.0,6028032.0,23547.0,256.0,6099456.0,23826.0,256.0,5916337.0,22843.0,259.0,5092956.0,25722.0,198.0,6251883.0,24711.0,253.0,5780085.0,22667.0,255.0,4545775.0,23075.0,197.0,4417963.0,22891.0,193.0,4815200.0,24076.0,200.0,,0.003767339530313718,0.003767868103329075
2020-10-15,5542063.083333333,23488.083333333332,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",6087424.0,23779.0,256.0,5676288.0,22173.0,256.0,5976064.0,23344.0,256.0,6004992.0,23457.0,256.0,6077696.0,23741.0,256.0,5894063.0,22757.0,259.0,5073552.0,25624.0,198.0,6228860.0,24620.0,253.0,5758410.0,22582.0,255.0,4528636.0,22988.0,197.0,4401172.0,22804.0,193.0,4797600.0,23988.0,200.0,,-0.024558396002929306,-0.024557627018927053
2020-9-15,5681593.916666667,24079.416666666668,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",6240768.0,24378.0,256.0,5819136.0,22731.0,256.0,6125824.0,23929.0,256.0,6156032.0,24047.0,256.0,6231808.0,24343.0,256.0,6042211.0,23329.0,259.0,5201262.0,26269.0,198.0,6385973.0,25241.0,253.0,5903250.0,23150.0,255.0,4642502.0,23566.0,197.0,4511761.0,23377.0,193.0,4918600.0,24593.0,200.0,,-0.03756375498306752,-0.03745219789737364
2020-8-15,5903345.75,25016.333333333332,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",6475008.0,25293.0,256.0,6036992.0,23582.0,256.0,6354688.0,24823.0,256.0,6491392.0,25357.0,256.0,6466304.0,25259.0,256.0,6268577.0,24203.0,259.0,5396094.0,27253.0,198.0,6626070.0,26190.0,253.0,6124335.0,24017.0,255.0,4816453.0,24449.0,197.0,4680636.0,24252.0,193.0,5103600.0,25518.0,200.0,,0.075131239267207,0.07513125944602406
2020-7-15,5490814.083333333,23268.166666666668,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",6022656.0,23526.0,256.0,5615104.0,21934.0,256.0,5909760.0,23085.0,256.0,6037504.0,23584.0,256.0,6015488.0,23498.0,256.0,5830349.0,22511.0,259.0,5018904.0,25348.0,198.0,6163333.0,24361.0,253.0,5696190.0,22338.0,255.0,4479780.0,22740.0,197.0,4353501.0,22557.0,193.0,4747200.0,23736.0,200.0,,0.007457243312709583,0.00732718345376937
2020-6-15,5450170.833333333,23098.916666666668,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",5988352.0,23392.0,256.0,5582592.0,21807.0,256.0,5874944.0,22949.0,256.0,5896192.0,23032.0,256.0,5979904.0,23359.0,256.0,5796420.0,22380.0,259.0,4989798.0,25201.0,198.0,6128166.0,24222.0,253.0,5663295.0,22209.0,255.0,4453776.0,22608.0,197.0,4328411.0,22427.0,193.0,4720200.0,23601.0,200.0,,-0.04516020016085198,-0.04537768241821449
2020-5-15,5707942.666666667,24196.916666666668,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",6289920.0,24570.0,256.0,5863424.0,22904.0,256.0,6170624.0,24104.0,256.0,6192640.0,24190.0,256.0,6083328.0,23763.0,256.0,6088054.0,23506.0,259.0,5240862.0,26469.0,198.0,6436067.0,25439.0,253.0,5948130.0,23326.0,255.0,4677962.0,23746.0,197.0,4546501.0,23557.0,193.0,4957800.0,24789.0,200.0,,-0.009630577621821734,-0.009628699869707269
2020-4-15,5763448.0,24432.166666666668,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",6351360.0,24810.0,256.0,5920512.0,23127.0,256.0,6231040.0,24340.0,256.0,6253568.0,24428.0,256.0,6142208.0,23993.0,256.0,6147106.0,23734.0,259.0,5291748.0,26726.0,198.0,6498052.0,25684.0,253.0,6006015.0,23553.0,255.0,4723469.0,23977.0,197.0,4590698.0,23786.0,193.0,5005600.0,25028.0,200.0,,0.03379919489930394,0.033801128349788545
2020-3-15,5575016.916666667,23633.333333333332,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",6144000.0,24000.0,256.0,5726976.0,22371.0,256.0,6028032.0,23547.0,256.0,6049536.0,23631.0,256.0,5940992.0,23207.0,256.0,5946122.0,22958.0,259.0,5118696.0,25852.0,198.0,6285026.0,24842.0,253.0,5809665.0,22783.0,255.0,4569021.0,23193.0,197.0,4440737.0,23009.0,193.0,4841400.0,24207.0,200.0,,0.04582698322351675,0.045826833792449895
2020-2-15,5330725.833333333,22597.75,"AQUILA.SQUARE MILE(Block 1),FUK CHAK ST|利奧坊•曦岸1座,福澤街",5875200.0,22950.0,256.0,5476096.0,21391.0,256.0,5764352.0,22517.0,256.0,5784832.0,22597.0,256.0,5680128.0,22188.0,256.0,5685309.0,21951.0,259.0,4894560.0,24720.0,198.0,6009003.0,23751.0,253.0,5555175.0,21785.0,255.0,4368869.0,22177.0,197.0,4246386.0,22002.0,193.0,4628800.0,23144.0,200.0,,-0.028257687864120307,-0.02825577478517005
