,10,11,4,5,6,7,8,9,B3
2.0,8459,9181,9493,7985,9376,9316,8459,8391,8538
4.0,8524,9273,9588,8049,9474,8401,8524,8457,8574
6.0,8588,8660,9683,8113,9567,8467,8588,8522,8642
