,A,B,C,E,G,H,J,K
5.0,6165872,6280557,6622155,4765136,6248112,5292540,6245148,4940796
12.0,6367936,6501000,6551826,4930209,6468398,5480332,6464472,5112314
18.0,6544304,6686574,6737991,5068991,6653933,5634728,6734952,5256443
