,1,11,12B,13B,14,15,17,18,19,21A,21B,22,24,3,4B,7,8,9
9.0,2358009,2815708,1525663,1542758,2805519,2782926,2988085,2782926,2782926,1361675,1559064,2782926,2217801,2782926,1542758,2782926,2999725,2999725
19.0,2538603,2975631,1596936,1614294,2955696,2937533,3152015,2937533,2937533,1422869,1631389,2937533,2322576,2937533,2013791,2937533,3165110,3165110
30.0,2705100,3174981,1677940,1695298,3139098,3131567,3355715,3131567,3131567,1493177,1712919,3131567,2420874,3131567,1695298,3131567,3313035,3374145
