,A,B,C,D,E,F,G,H,J,K
8.0,5689912,5094250,5145910,5751232,4168344,4493941,5133856,5257266,4442104,4357024
20.0,5572528,5359438,5466776,5561432,4406208,4696619,5399618,5593056,4699888,4685624
32.0,5963224,5831266,5971322,6115064,4659760,5040798,5941474,6298502,4936190,4912888
